;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;58685.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77.6;58763.2;990;57773.2
Natural_gas;0.5451175313;0;0.2446820473;258.9545432596;2977.6085278882;1315.7917809704;6219.2610854548;35.4380449702;277.2985870993;176.6043558757;43.7164617788;24.5382787394;2812.241947045;207.0629823748;7925.3180289296;11318.2750328602;0;0;3891.96216681;37484.8616236346;23.22270236;37461.6389212746
Coal;0;0;3292.4562707696;0;3237.7699636485;191.2716309915;3637.5225187381;0;3.0692557897;2.3118087405;0;0;537.8715786507;0.2534804252;123.3837907629;29.4113572867;0;0;103.564801203;11158.8864570065;3268.1342277704;7890.7522292362
AllFuels;0;0;0;0;1852.7049023259;380.8720346617;1884.0585483426;76.1328067662;691.1579798432;50.5639302309;15233.7276589285;1011.2243045251;3594.9288235482;57.0806765719;3761.4192687201;31170.6284439158;0;0;16932;76696.49937838;46809.3125952957;29887.1867830844
Electricity;54.6545192989;3.1337071313;24.4815839236;1395.3538047947;0;1304.6635731577;6324.0683054434;17.5091436579;387.0510813046;242.0920933935;134.9463367806;836.2560178902;2551.1634977793;289.0168041686;13855.6989887777;13577.5566553205;0;0;6031.0727079894;47028.7188208117;44586.9996846368;2441.7191361749
HeatGeoSol_Th;0;0;0;0;0;0;877.8692705345;0;53.7137751877;0;0;0;173.505478846;40.108875691;1115.8145751906;1235.1243630019;0;0;0;3496.1363384517;3496.1363384517;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
OthSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
