;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20
PrimEnergy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FinEnHTr;0.023464800037326;0.026739423207464;0.027376316277836;0.031053053841758;0.039897816461835;0.034968253572898;0.041456459211305;0.045588546378831;0.046360676176621;0.052390725742373;0.051054934176023;0.057060777946205;0.063155025491509;0.059788402757777;0.063118716798156;0.064814087211727;0.067322895139441;0.066533663420868;0.069866959334614;0.067988466815433
FinEnHRes;0.034734910189201;0.037866553865472;0.037856425166471;0.041762276583408;0.044525535725647;0.04108582954495;0.044313133156229;0.048418482429783;0.049347996888464;0.047988650455146;0.047188558261477;0.051380939319039;0.052578901814943;0.052003366629493;0.057730133044588;0.056224783290858;0.055379449574985;0.059643781909153;0.06724540802301;0.072724884127684
Comp;0.023449030329682;0.024694344646561;0.027082567938534;0.029120984753825;0.036596611377861;0.032275779121649;0.038673124072358;0.040684618278394;0.041207484118635;0.046540947956196;0.042559832819847;0.051456901494953;0.052041208095348;0.058103799107377;0.059932458357362;0.066396977398211;0.072847609311417;0.075473820808459;0.085119877532486;0.095742022480847
