2019;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;-0.6;0;0;0;0;3578.4;0;0;0;120.1114731;12809.16781;998.4915493;74.0443287;4.509805832;20.91148352;49.50080525;271.6762339;0;0;0;0;0;0;17926.21348;2663.925928;15262.28756
COilFFuelExDies;0;51704.33162;1518.37247;0;37526.1054;1027.600023;1.59921093;4.341394144;25.3897525;1261.526975;-170.0224564;1189.951042;4022.74781;50.1655457;232.612228;290.4334885;877.9938664;6234.207413;526.5351094;24353.10603;0;0;98095.67212;228772.6691;204021.0266;24751.64246
NaturalGas;0;15407.80317;8181.584358;0;1619.226592;4311.249179;0;0;0;1.783891713;531.4027182;269.5532982;965.8494588;68.15837946;316.0430586;375.0887217;1911.809366;776.4189158;56.63685046;274.0684916;0;0;0;35066.67645;28869.57309;6197.103363
Allbiofuel;0;0;0;1725.623177;0;2093.410132;168.973561;458.7142411;2682.69608;287.11445;2953.045626;11.21118119;65.41894879;405.5611853;1880.5435;9514.433278;3155.837909;3346.895401;169.5095074;15895.85108;0;0;0;44814.83926;44814.83926;0
Diesel;0;1359.802579;1.64E-06;0.234992774;3.698110625;75.90344299;315.8940823;857.5608714;5015.268726;48.78216275;33.72670924;9.293499513;17.47140767;40.38139601;187.2441805;183.6336859;507.8288037;39033.75164;41.20924777;0;0;0;0;47731.68554;35771.81486;11959.87068
Electricity;0;1144.683726;61.17396793;644.0258555;163.941836;10973.7221;125.6990344;341.2364445;1995.6513;517.4709587;2209.994478;2429.264069;1866.557122;426.801108;1979.030732;2079.286325;6160.118328;199.0903167;12013.93914;12173.47946;0;0;0;57505.1663;55319.11188;2186.054421
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263502.1978;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8315.402238;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;351885.9524;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60676.89997;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53845.74298;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20115.23762;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269609.5887;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12412.51791;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;986567.9118;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37959.10335;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1840942.573;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478832.1679;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5733023.538;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
