IC_Q;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;RestIndus;FreightTrans;PassTrans;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;10.8;0;0;0;0;4009.86;0;0;0;126;9307.98;841.23;154.71;10.35;48.06;714.6;0;0;0;0;0;0;0;15223.59;2380.14;12843.45
COilFFuelExDies;0;53294.58;10.62;0;42178.14;4997.43;0.72;1.98;11.43;3245.31;207.72;1603.62;2210.76;68.58;317.88;2131.65;1085.49;5303.43;621.27;24320.43;0;0;44379.9;185990.94;165128.85;20862.09
NaturalGas;0;13171.59;4172.49;695.79;1814.58;14770.26;0;0;0;10.44;1106.28;533.34;2000.07;133.11;617.04;4551.93;0;1257.75;141.75;420.12;0;0;0;45396.54;31232.52;14164.02
Allbiofuel;0;0;0;3282.39;0;2634.39;149.22;405.09;2369.07;280.44;3100.59;9.54;60.57;350.82;1626.66;10548.54;1792.71;2026.89;164.61;18462.42;0;0;995.04;48258.99;47097.9;1161.09
Diesel;0;1790.19;0;0.27;3.42;2187.72;271.71;737.64;4313.88;50.22;29.61;8.64;15.21;35.64;165.33;635.49;25796.07;7237.08;5.76;0;0;0;586.17;43870.05;38206.17;5663.88
Electricity;0;1027.89;55.17;582.39;149.94;7699.68;105.84;287.28;1680.03;550.26;1919.52;2083.77;1745.91;358.02;1660.23;6998.58;0;159.03;10437.84;10138.86;0;0;17.01;47657.25;44976.6;2680.65
PlantedForest;2.52;3.6;0.09;103933.35;0;0;2350.71;1927.62;8481.15;47.07;2177.19;16.83;590.67;604.44;1453.23;85459.77;7.02;0.18;3003.48;24143.76;0;3438.81;4810.23;242451.72;231835.86;10615.86
Cattle;0;0;0;0.36;0;0;1.8;78.57;138.78;0;0;0;0.72;3047.58;2280.51;4.95;0;0;46.89;111.87;0.09;1478.88;135;7326;7316.1;9.9
RestAgri;0.27;22.86;0.54;16381.8;0;0.45;322.29;2489.04;9008.46;3.24;57.33;9.09;2845.17;15792.57;64134.99;5150.07;51.93;2.61;15879.33;99372.06;66.78;1204.29;85937.49;318732.66;309598.11;9134.55
Cement;0.09;122.13;37.8;3.15;0;1499.31;18.63;179.37;436.77;4186.35;4.41;3.24;207.09;1.71;9.9;45651.78;0.18;0.63;14431.05;0;0;0;207;67000.59;65467.8;1532.79
IronSteel;1.71;609.12;23.31;2.88;0;80.46;5.04;67.14;179.73;77.85;4478.67;250.47;37.26;51.66;188.28;28971.99;11.88;3.78;3492;108;0;39.42;16549.56;55230.21;49038.57;6191.64
NonFerrousMetals;0.09;0.63;0.09;1.71;0;2.88;0;0;0;5.94;532.98;2799.18;150.03;52.65;143.91;7235.91;2.88;1.26;603.72;129.96;0;0;6456.33;18120.15;14808.87;3311.28
Chemical;75.24;4173.66;133.38;963.63;911.43;249.21;311.85;3241.98;58051.53;858.15;1478.52;1267.56;83916.45;842.76;5729.22;66489.48;455.58;158.31;28082.52;62947.62;0;0;23960.52;344298.6;239009.4;105289.2
BovineMeat;0;0;0;65.79;0;0;0.45;30.33;37.8;0;0.09;0;90.54;87.48;84.06;140.13;0;0.18;843.12;5333.04;6.48;0;1093.95;7813.44;7624.08;189.36
RestFoodBeve;0.63;8.55;0.18;439.56;0;0.99;315.09;3482.64;5471.28;1.08;0.45;3.6;1628.1;15201.81;38613.69;1310.85;34.11;37.71;59419.26;409259.07;194.85;0;97417.71;632841.21;605974.77;26866.44
RestIndus;51.12;8093.52;453.06;1202.94;210.15;7863.3;176.76;2605.41;8520.66;2732.04;17717.85;7692.03;12777.75;4174.29;25055.19;423918.45;15759.09;7481.43;226354.32;557336.25;7898.31;572069.61;197431.74;2107575.27;1785745.8;321829.47
FreightTrans;794.52;49523.94;1824.57;7640.1;3986.91;10479.6;1074.78;3109.23;76725.9;14750.01;20233.35;2532.6;40080.42;25587.27;111438.36;307924.47;116780.22;73273.59;203921.37;6057.36;0;0;34519.77;1112258.34;1087652.7;24605.64
PassTrans;5.04;6625.44;258.48;405.9;28.8;1144.62;312.84;2373.66;8748.18;469.17;798.75;200.52;20414.43;3114.72;12306.69;52029.81;15445.08;1636.56;259027.38;793814.13;0;0;4813.02;1183973.22;1134932.4;49040.82
RestComp;86.04;33313.41;1443.96;6400.35;2924.1;17266.14;227.43;1711.17;11714.49;1473.48;21381.57;6161.4;41237.55;15814.35;105846.3;284318.1;44221.23;28658.07;1523020.68;1700800.02;1078201.89;196257.78;92388.69;5214868.2;5044058.28;170809.92
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
