AGG_IndEner;Crude_oil;Natural_gas;Coal;FuelProd;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;OthIndus;Agriculture;Composite
C_value;0;10436194;128804.62;41912480;19736647;74426.786;166815.65;250184.35;425357.9;3561642.1;2.490e+08;32361000;7.333e+08
G_value;0;0;0;0;0;0;0;0;0;0;29057000;0;4.926e+08
I_value;0;0;0;0;0;0;60005.63;89994.37;0;0;70220000;1348000;3.050e+08
X_value;24190.373;513333.19;53378.284;13828219;2236785.7;0;12509256;7785743.7;277776.49;4483223.5;2.044e+08;13386000;2.006e+08
