AGG_IndEner;Crude_oil;Natural_gas;Coal;FuelProd;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;OthIndus;Agriculture;Composite
Fact Emiss;5.305e-08;0;0.0000127;0.0000004;0.0000009;0.0000039;0.0000014;4.996e-08;0.0000008;0.0000002;0.0000001;0.0000001;2.189e-08
Output;434088.53;10084297;1196388.8;62477369;38752773;1659166.7;16452768;22600455;4635272;27472871;5.947e+08;88379165;2.776e+09
M_tot;28811538;10385468;2329386.1;25347165;1082905.3;0;11778851;13208708;383595.13;8965065;2.215e+08;13065050;2.406e+08
