AGG_IndEner;Crude_oil;Natural_gas;Coal;FuelProd;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;OthIndus;Agriculture;Composite
Emis_Sect;0.0230297;0;15.207638;22.126882;36.048481;6.4529564;23.055397;1.1291019;3.9346285;5.0062199;74.474756;10.412337;60.777043
Emis_HH;0;33.820685;1.9288054;91.24072;0;0;0;0;0;0;0;0;0
Emiss_IOA;0.0044954;0.6720492;8.5079126;25.706608;42.717237;0.3086851;76.461492;3.1226071;1.357727;3.72001;169.96896;11.310094;226.81223
Prod_Emis_IOA_DIR;0.0007307;0;1.2373555;15.178843;20.438964;0.2894663;10.819875;0.3513760;0.5613552;1.2061146;55.933797;4.7065474;35.520783
Prod_Emis_IOA_INDIR;0.0007904;0.2092042;0.1060179;0.3240806;1.5362348;0.0061412;6.2622288;0.6164946;0.1886833;0.6082841;30.481289;2.2724376;69.791376
Dom_Emis_IOA_C;0;0.1985548;0.8998753;11.406322;19.738113;0.2956074;0.2235038;0.0213104;0.4491337;0.7613898;35.620688;4.5028371;44.374897
Dom_Emis_IOA_G;0;0;0;0;0;0;0;0;0;0;2.7670769;0;31.857879
Dom_Emis_IOA_I;0;0;0;0;0;0;0.0983843;0.0092868;0;0;10.253236;0.1376392;16.906087
Dom_Emis_IOA_X;0.0015210;0.0106494;0.4434981;4.0966016;2.2370851;0;16.760216;0.9372734;0.3009048;1.0530089;37.774086;2.3385087;12.173297
Imp_Emis_IOA_C;0;0.7132913;0.0397933;7.8922397;0.0028330;0;0.0371603;0.0485440;0.0227086;0.6066418;30.057341;1.988942;12.696654
Imp_Emis_IOA_G;0;0;0;0;0;0;0;0;0;0;6.8380336;0;0.4447899
Imp_Emis_IOA_I;0;0;0;0;0;0;0.0087747;0.0114627;0;0;7.9828366;0.1691561;11.395543
Imp_Emis_IOA_X;0.0025034;0;0.0132909;1.9032168;0;0;2.7865929;0.4964183;0.0096442;0.4966024;4.2654441;0;3.3410475
Imp_Emis_IOA_int;0.0008077;0.4471023;0.0459280;5.3373904;1.8965073;0.0344040;1.776739;0.8617099;0.0950890;0.5630465;46.287394;3.2496763;72.755228
