Ratio;Primary Energy;Final Energy;Non-energy goods
Production Price (Laspeyres);1.2231402;5.8081913;1.7495062
Real Households consumption (Laspeyres);0;0;3.9984894
Exports in volume;0;0;2.7773033
Imports in volume;1.2968151;0.9385546;4.7009128
Carbon Taxe rate;0 euro/tCO2;;
Revenue-reclycling option;No recycling revenues;;
