IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;12.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.6;
Natur;0;0;0;0.1;1;0.4;2.1;0;0.1;0.1;0;0;1.2;0.1;3.3;9;0;0;0.7;18.2;
Coal ;0;0;0.8;0;0.5;0;1.1;0;0;0;0;0;0.1;0;0;0;0;0;0;2.6;
AllFu;0;0;0;0;0.7;0.2;1.3;0.1;0.6;0.1;13.4;0.9;2.4;0;3;40.3;0;0;8.6;71.4;
Elect;0;0;0;1.1;0;1;4.3;0;0.4;0.2;0.1;0.7;2.2;0.3;16.1;28.6;0;0;3.8;58.9;
HeatG;0;0;0;0;0;0;0.6;0;0;0;0;0;0.1;0;0.8;1.1;0;0;0;2.7;
Heavy;0;1;0.1;1.3;4.7;0.1;56.5;3.6;24.3;6.8;0.2;0.1;12.7;0.4;87.1;47.8;28.6;0.2;120.3;395.6;
Build;0;0;0;0;0;0;0;1.9;0;0;0;0;0;0;0;0;0;57.4;0;59.3;
Work_;0;0.6;0;0.5;1.5;0;0.7;15.5;20.3;0.3;0.1;0;0.5;4.8;20.8;13.9;0;163;0;242.6;
Autom;0;0;0;0;0;0;0.1;0;0.1;9.7;0.3;0.1;0.2;0;7.3;66;0;25.2;44.7;153.9;
Load_;0;0;0;0.1;0;0;0.3;0;0.2;0;9.1;2.3;0.2;0.1;25;0.7;3.1;0;1;42.3;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.1;0;0;0;17.1;
Agri_;0;0;0;0.1;0.1;0;3.3;0.1;0.9;0.2;0;0;90.7;0.2;46.4;167.9;0.2;1.7;44.6;356.4;
Prope;0;0.1;0;0.2;0.2;0;2.1;1.2;0.6;0.2;0.9;0.2;0.6;10.7;60;222.6;16;8.9;0;324.5;
OthSe;0.1;2.5;0.1;8.1;13.5;0.2;62.6;14;72.9;36.8;18.1;4.6;41.8;43.9;1058.5;586.3;528.4;231.6;306.5;3030.6;
Labour_income;0;0.2;0;0.2;5.2;0.1;18;6.8;58.3;5.4;18.1;4.6;27.2;11.5;692.9;;;;;;
Labour_Tax;0;0.1;0;0.1;2.3;0.1;8.1;3.1;26.3;2.4;8.2;2.1;12.3;5.2;312.5;;;;;;
Capital_income;0;1.8;0;0.5;8.5;0.2;8.5;1.5;6.6;2.8;7.3;1.9;17.2;60;198.2;;;;;;
Production_Tax;0;0.2;0;0.1;1.4;0;2.3;0.5;2.3;0.6;0.9;0.2;-4.8;20.8;32.7;;;;;;
