IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.8;24.9;
Natur;7.3;7.4;7.3;7.3;7.3;7.3;7.3;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.6;7.6;7.6;7.7;
Coal ;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;-1.2;
AllFu;12.2;12.2;12.2;12.2;9.1;10.2;11.9;12.9;12.8;13.3;12.9;12.9;11.8;12.8;12.6;8.5;8.5;8.5;16.2;
Elect;2;2;2;2;2.1;2;2;2.1;2.1;2;2;2;2;2.1;2.1;2.1;2.1;2.1;2.1;
HeatG;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.5;
Heavy;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;
Build;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;
Work_;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;
Autom;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;
Load_;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.3;
PassT;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2.8;
Agri_;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;
Prope;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;
OthSe;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;
;;;;;;;;;;;;;;;;;;;;
w;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;;;;;
pL;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;;;;;
pK;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;;;;;
pY;1.7;1.5;-0.6;13.4;1.8;3.5;1.5;1.6;1.7;1.4;4.2;2.9;1.7;1.6;1.7;;;;;
pM;25.3;13.5;-1.7;21.5;11.4;11.4;0;0;0;0;0;0;0;0;0;;;;;
p;24.9;7.7;-1.2;16.2;2.1;3.5;0.9;1.6;1.7;0.8;4.1;2.8;1.4;1.6;1.5;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
