;2030;2050
Crude_oil;0.09236514263332768;0.105381516577884
Liquid_fuels;0.01419201645044693;0.016191998130545122
Gas_fuels;0.7382538131777318;1.4334922085323272
Solid_fuels;0.0037083253855028087;0.003166654777051524
Elec_heating;0.1433085521030931;0.30399665492921
Steel_Iron;0.0621970987863184;0.06691795644340218
NonFerrousMetals;0.04786807695219309;0.056612548486817016
Cement;0.08625316648046139;0.10346037421978446
OthMin;0.04794172410597852;0.05375565357528663
ChemicalPharma;0.051291157509170134;0.06490126053374042
Paper;0.07088631367439766;0.07066452629601735
Auto_indus;0.0755744658849432;0.07820627160343151
OthEquip;0.02926698120967844;0.03239755762569408
Electronics;0.18300702914220143;0.202582587184662
Food_industry;0.04701099295593253;0.054459504683125215
OthManuf;0.041974782850068185;0.04675939028038147
LandTransp;0.08786182747386026;0.10403316359064442
NavalTransp;0.11334022123410407;0.12113743827983384
AirTransp;0.13682270556720166;0.13929108068728452
AgriForest_Fish;0.16621698862746703;0.16406514226449503
Construction;0.03429793982617098;0.0399382275637484
Property_business;0.24313732281733852;0.2574988017508601
Compo;0.10956580346370488;0.11427640765367245
