sigma_ConsoBudget;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20
PrimEnergy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FinEnHTr;2.5191745235535;2.33421925679763;2.3900823615395;1.8272750926107;1.2063629911527;1.25522770481015;1.1106505006223;1.06114431960354;1.02415000556293;0.952188415187587;0.888969541322359;0.879374286857698;0.802059191639245;0.84161855523842;0.816189840668218;0.808801875767713;0.774019917052482;0.769788301669477;0.747209006906364;0.741636593907388
FinEnHRes;3.04779725598286;3.30161462936063;3.69474168402554;3.01488268225369;2.75179195496162;2.5851765174691;2.606393038636;2.40827527955356;2.23273990388558;2.64458134154624;2.15465454327677;2.2044508902538;1.97600664693795;2.09221958677953;1.78713674849023;1.89127584172875;1.82379320008571;1.60721554812285;1.40581329653806;1.27446435361468
AllComp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
