2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_industry;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;27946.131726749056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;568.7316561332751;17699.37427454152
Liquid_fuels;76.91794221424796;0.0;994.4464125007374;89.77729269940478;1660.4897066862782;1119.5453718409995;711.4902508201824;182.51603989592311;359.7240264623389;2056.368004267202;31.65667187926126;186.63357848410936;213.37136536633105;94.61070852655158;437.0416703449672;778.6688067394239;1698.8707462110442;2208.4219675595014;8596.644687962676;3981.611525573533;815.7391361544773;13.707110697933373;4485.379023798336;2462.7775607303433;0.0;0.0;20251.231;0;33190.29056955184;15228.903081834735
Gas_fuels;20.030899548510792;879.2273923327131;0.0;0.0;5029.96954724992;149.27485961518275;161.13876864123193;794.7090587385198;593.1984547204671;2697.356765287923;786.8941089610718;286.2186483185523;162.5727023655015;72.08614207191715;3013.4309939467457;588.3451205633036;154.9713448326863;16.605563377309366;13.951697976691658;275.01809653362517;717.3881279502945;301.6985848470324;2251.067605951939;6421.910501493827;0.0;0.0;5319.473;0;581.7401622412667;7810.714112345242
Solid_fuels;0.0;14.202125334711234;0.0;1971.6938041979254;2665.2322358733695;2401.666621806067;0.0;59.732899937142946;185.23381988030707;193.9520950572571;10.92653406719092;19.881849122770063;6.371093897268245;2.8249981279111793;402.70607416763517;23.22198780499213;0.0;0.0;0.0;2.9472073687108047;124.47673173535179;0.0;87.37387375070743;15.081150739265615;0.0;0.0;33.236;0;1605.086312184306;3648.506116593755
Elec_heating;17.839690223760506;207.27004557779432;673.7064173576965;2.256751354931134;1042.781215950975;221.01496466319458;850.8829356850769;702.6915666877126;431.7640897173351;4095.7753498632524;973.0380901547873;720.0252177308994;502.4019526859037;222.76937032824932;3108.7181284047715;1795.536991292445;3545.590026062145;0.0;0.0;969.5897208341435;1061.486476143963;408.1156053882388;14537.148810937962;19895.015229910474;0.0;0.0;3587.4047212107757;0;62946.69330445759;1196.5954965005017
Steel_Iron;0.0;50.80105874575605;1.2491124763644479;7.821906616536561;22.069110672542834;1144.4640695332444;781.9956761777207;19.087679190757065;300.6724923150545;292.12680309089404;18.705111154269265;2435.5180858815197;2758.3578553131033;433.5935109918924;13.011443177104757;6763.523114702198;10.207501371931416;6.206021773181165;0.0;16.025440067365;5216.253877641646;0.0;1833.797915752931;0.0;0.0;0.0;24810.198115312593;0;22792.186675427565;23619.740241111955
NonFerrousMetals;0.0;77.20393489383454;1.8982763234094775;11.887108719405752;33.53799819261501;7664.681892239497;1188.399701013767;13.88624770080887;473.271866677514;443.9461219212871;28.42850658328374;3701.261693435377;3561.010802531049;559.7645367904532;19.765183477244175;8731.628248128964;15.515402085335754;9.43380981711613;0.0;24.360510907000243;2061.276837429746;0.0;11070.21404740878;334.55853401553156;0.0;0.0;15813.683448920476;0;29347.912652987936;24663.473516153535
Cement;0.0;2.4693576183746573;1.5896049933242613;0.0;28.080519883118534;39.67663856458431;8.90709149018184;1093.6876213782691;649.3689123980218;106.03333030862765;19.24034393017832;136.8458063030357;107.5831682377367;82.74553737091733;43.28880435315351;435.1438835055815;17.25995686526585;1.700909671168171;0.0;48.444721123183854;2806.2092242525387;16.693246077024387;243.82531247522724;555.5696079640468;0.0;0.0;542.6956580238932;0;5986.225676082627;761.91240661248
OthMin;0.0;16.937005277642303;10.905708299488357;0.0;192.66094419695335;272.21620233930156;61.10528893478618;451.37578291825264;3007.3921807743077;727.4234925515595;131.99604872168564;938.7976442016388;440.0199184095218;338.4437065927937;296.95471121940693;1779.7442394093032;118.39464318546875;11.66994782110363;2.1070645652807416;332.3897310524154;17749.201043262707;114.53421613958399;5296.38978341789;3697.756410092739;0.0;0.0;7114.804294429283;0;31035.238314535825;15226.561739426634
ChemicalPharma;0.0;532.1565238469094;157.816856347476;3.0461328032633763;2788.034939841036;115.62932144177913;572.6834283453453;46.738654211150326;482.439676075628;25578.21367958932;1064.2670465275799;1589.6879007246912;1438.8376026981196;244.5075925296912;1508.049158261357;13121.804098211136;51.705634222183505;68.79818422840835;18.61122124439892;7832.433832924644;2979.04671268662;40.156530840842;16863.789523862746;27722.058864046317;0.0;0.0;120373.19711932093;0;124452.265620455;130614.03343038137
Paper;0.0;24.019813285184668;1.6224151384746688;0.0;28.659629461519543;4.139061100257646;20.493647405581477;29.719215991479807;306.7647095961979;1716.4456474373155;4014.1871985853036;209.9314162250759;320.4962879153106;182.774728715021;2109.0366531616164;3783.9674663413275;41.22593281366725;54.9643378102008;1.7972716830677484;212.97026997570774;639.8160244635104;255.12844421052273;14280.467148950635;6276.445680221176;0.0;0.0;11286.423961693035;0;25487.275043288275;20113.74815344748
Auto_industry;0.0;17.83646215207716;1.293790120824577;0.0;22.855944338848552;7.7174344082997735;38.21685185672089;4.9224733734427435;50.81089216855805;64.15514292734456;16.745139703440397;41992.65757832172;587.7722297731922;24.78039051233968;83.90663796613889;1344.082327470977;389.3450341478034;1041.5017979159513;907.7617249877668;240.35857595290693;180.46916930846584;17.249687612925204;22741.137384211834;58419.94852827052;187.19503391528448;46872.16623258216;157410.4826655717;0;168633.1562575917;167477.04046681756
OthEquip;0.0;152.87115933429882;42.77087473035108;3.897149565983495;719.3485164140109;414.02918783381193;533.1165725065871;72.49858054046909;375.86466770351194;768.9781040422295;366.2776296470958;9070.204122364581;9105.058667624733;2390.4387525190655;837.4065621299985;8899.527019053008;327.53088038517393;67.97399826805466;43.58383831439289;2033.3198087772064;9875.796718867681;99.69577518222899;14128.587135872487;12284.018972551678;0.0;26578.029523963578;49180.14779360909;0;79338.6196443486;68897.96394336024
Electronics;0.0;54.37897206915373;15.535661902734148;1.2299776410268337;336.94735458943103;118.83846132567932;153.02001657267908;26.1831524846178;135.74502886394825;185.8570134775875;118.5183776787948;6958.596603022645;4017.0729898326585;4166.356185407734;93.90369987933961;2127.111082922026;24.893930618576984;30.98742194365643;4.98506408935107;0.0;2364.33490162569;45.025394279974115;14787.187910072336;21613.842967038097;281.6221605315301;12788.806204503328;33988.85024687921;0;35179.430028875184;70639.7436145253
Food_industry;0.0;33.02765814576104;2.094206410052336;0.0;36.99377165502973;14.8832978990542;73.7190217930404;5.34450228360657;55.16513610408743;2431.635482278384;314.19948055114486;125.58111146502856;117.01653011344973;20.65384336995262;30022.092686738397;3295.9846826957823;22.7534485127053;89.8789566008015;157.0271539833968;6976.788156109436;488.42757596059306;182.69830428743356;38275.80652456786;126132.9638367701;0.0;0.0;39192.94409711327;0;190783.6242977237;59149.49771848793
OthManuf;0.0;486.649316446997;42.81223645588644;11.0967642192862;800.6567601553787;1066.1797459591533;1372.8454624552655;192.64452434971784;998.7543147715719;5430.711069653233;2477.2994160200124;17623.378987643388;10265.401847647261;2992.96740445262;5934.591730854712;47748.436186882536;963.8232113601035;196.0938699855058;1053.3785686148453;2174.4403866118046;23580.287232189617;622.3798579050592;51664.06373122088;118101.71244238672;2848.36573620236;35443.336189405745;70208.73664229696;0;287793.5737470777;121801.27925480118
LandTransp;0.0;105.55176206928877;3.981255148330557;0.0;70.3366350984009;9.18525123019731;45.49806898592719;12.082597904605175;124.72131221462513;379.5918553689498;58.45506531178166;101.82069974833388;90.18420894973106;63.06616421276454;357.43312012178535;384.60733195559465;23421.15520244791;90.64732120129061;81.95322391672738;155.2694757101665;454.1653455087521;174.86175265683048;58064.478183695595;36857.07955574257;7269.535631887428;0.0;3054.4385140434883;0;123727.28935674444;4606.865996685069
NavalTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.313700310971121;3250.254499475762;0.0;0.0;0.0;0.0;356.2029006272174;701.8164312337028;0.0;0.0;39828.734180723215;0;32836.09403799558;0.0
AirTransp;0.0;25.52001441892841;1.151380129107915;0.0;20.33807660667025;3.856437985482344;19.10255634582985;3.515111716995718;36.280193589692374;124.26558722202432;12.251733113308672;65.68261436233196;32.70337901740049;12.552020634302666;84.51714556389159;139.52232455258329;50.33226131032364;59.11153648719964;1785.9228583216404;8.565321415315777;124.19556454524289;75.86152939447749;5717.294931768981;3877.5331652363625;0.0;0.0;20212.966131425794;0;23648.311619312477;7419.788437401256
AgriForest_Fish;0.0;0.0;0.0;0.0;15.000197014452244;0.0;0.0;0.0;0.0;66.34550280226456;152.60505932168854;0.0;0.0;0.0;42934.02312540946;3783.276761764334;0.0;0.0;0.0;18027.284622446678;592.7807702324368;0.0;2904.7903846559893;44828.44850701867;0.0;2242.158998321627;23788.440927554042;0;115125.28784026581;23908.298475749812
Construction;7.141392786568696;485.41131860875265;203.78695292605673;4.005492892055935;2683.8266890755062;195.44527996045892;96.34919723975939;23.994588377441993;170.60691206266634;454.12631724904026;138.54118095280208;1048.0550661409325;1326.2164321129667;217.83806662480092;382.90273396553147;1501.9946613859986;263.04421717243866;343.54106665372115;131.08022647468712;464.7492744823691;56268.30275335231;6459.358829248603;27980.997835407816;7325.539839801211;0.0;385792.4946048473;0.0;0;401667.41444127716;0.0
