CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;242.11704;862.51556;347.10648;41014.975;0;0;0;28;19.613105;68.221739;0.9862373
Natural_gas;230127.42;33.131217;252.31424;36215.513;11524.391;0;0;3336.2683;0.0318923;1.296144;0.5704831
Coal;933.79759;2984.7835;164.55276;7206.6155;27.941969;4.149e-15;-3.216e-16;103.5648;90.9859;0.4459106;0.3028198
AllFuels;744.33816;38268.698;454.05869;34255.377;29613.347;0;0;16932;59.550497;0.9010813;0.4584726
Electricity;1150.6945;42818.733;1008.5722;1600.1721;13540.753;0;0;5279.7936;10.074507;0.1182034;0.0345771
HeatGeoSol_Th;931.90007;3269.3068;1027.4916;0;1171.9762;0;0;0;70.334648;0;0
Heavy_Industry;1075.7194;173092.87;1000;129298.2;34135.416;20212.89;139.13078;92456.422;7.4428813;1.3614104;0.6758852
Buildings_constr;1078.0715;54566.852;1000;3.346e-16;0;0;52576.256;0;0.2578677;0;0
Work_constr;1078.5417;232236.57;1000;3.220e-16;12548.582;0;153943.7;0;0.6514854;0;0
Automobile;22418.99;3046.9103;21043.918;2561.507;2563.4325;0;618.01323;1719.9553;0.5783983;1.4641294;0.7082937
Load_PipeTransp;235.65038;367077.87;176.45045;10951.016;4252.5835;18410.724;0;8041.4979;22.168524;0.0356000;0.0221374
PassTransp;101.24838;184877.12;87.518192;5444.5373;190321.66;0;0;0;10.371343;0.0254559;0.0248240
Agri_Food_industry;1096.0225;203995.74;1000;44891.771;114968.36;157.16402;1245.1517;31274.901;3.7097274;0.4081652;0.2021166
Property_business;84.698156;4048490.8;78.108601;2.726e-16;2772991.9;197501.05;115583.08;0;0.1752321;0;0
OthSectors;1081.8125;2710669.8;1000;343972.7;573025.39;510875.04;236276.44;315716.71;0.9619396;0.2260001;0.1162993
