IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;345.7;345.7;345.7;375.8;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;362.9;
Natur;598.8;485.9;598.8;598.8;598.8;598.8;600;762.2;686.6;686.6;686.6;686.6;692.8;686.6;686.6;1092.9;586.7;586.7;223.2;
Coal ;414.7;414.7;881.2;414.7;700.6;710.7;978.1;414.7;938.8;1155.1;414.7;414.7;743.4;938.8;773.3;959;493.1;493.1;550.1;
AllFu;870.6;870.6;870.6;870.6;779.4;861;1105.2;1351.9;1343.3;1511.3;1371.6;1371.6;1089.3;1343.3;1261.7;1750.7;1403.3;1403.3;597.3;
Elect;880.8;880.8;880.8;880.8;1201.3;880.8;766.9;1319.4;1266.7;880.8;880.8;880.8;955.1;1266.7;1314.6;2204.2;1827.1;1827.1;797.4;
HeatG;950.5;950.5;950.5;950.5;950.5;950.5;950.5;950.5;953.3;950.5;950.5;950.5;953.3;953.3;953.3;1068.8;1150.7;1150.7;943.3;
Heavy;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1347.9;1495.3;1495.3;1495.3;1343.3;
Build;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1082.6;1218.9;1218.9;1218.9;1078.1;
Work_;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1083.4;1183.4;1183.4;1183.4;1078.5;
Autom;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;26514.6;27540.1;30511.2;45142.9;26808;
Load_;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;129.3;179.7;179.7;179.7;142.7;
PassT;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;94.4;95.9;95.9;95.9;100.9;
Agri_;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1477.7;1561.1;1561.1;1561.1;1482.6;
Prope;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;84.7;85.8;85.8;85.8;84.7;
OthSe;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1026.5;1093.7;1093.7;1093.7;1009.6;
;;;;;;;;;;;;;;;;;;;;
w;91915.3;63865.5;45617.6;79445.9;63865.5;63865.5;53047.3;39270.8;21706.9;71731.3;219653.6;49772.3;35554.9;24211.4;34463.7;;;;;
pL;133364;92665.3;66188.6;115271.6;92665.3;92665.3;76968.6;56979.7;31495.5;104078.1;318705.3;72216.9;51588.3;35129.4;50005;;;;;
pK;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;971.9;;;;;
pY;242.1;230127.4;933.8;744.3;1150.7;931.9;1075.7;1078.1;1078.5;22419;235.7;101.2;1096;84.7;1081.8;;;;;
pM;347.1;252.3;164.6;454.1;1008.6;1027.5;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;344.9;462.4;389.8;607.2;1145.6;931.9;1043.3;1078.1;1078.5;21791;233.9;100.9;1078.7;84.7;1072.6;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
