CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;1.0497048;-8.9713899;0;-8.9713899;Nan;Nan;Nan;0;0.2325740;-1.0324575;-0.0087025
Natural_gas;0.9259054;-5.702322;0;-5.702322;-4.995991;Nan;Nan;0;0.0003396;-0.4602052;-0.1533055
Coal;181.12715;-10.627452;0;-10.627452;-4.995991;Nan;Nan;0;14.187392;-63.577103;-45.113577
AllFuels;2.4913411;-4.2007953;0;-4.2007953;-4.995991;Nan;Nan;0;0.5885463;-0.1863324;-0.3396921
Electricity;7.830931;-5.1049728;0;-5.1049728;-4.995991;Nan;Nan;0;5.048844;1.368419;-6.6038051
HeatGeoSol_Th;19.80034;-5.7139278;0;-52.426494;-4.995991;Nan;Nan;Nan;4.2965319;-99.967628;-99.967628
Heavy_Industry;3.5234675;-3.7447586;0;2.2333786;-0.6718186;-1.1269132;4.5863799;-2.9092796;2.0693978;0.9928305;0.4233579
Buildings_constr;0.8001211;5.8196451;0;-37.835461;Nan;Nan;5.8199657;Nan;0.0449882;-99.997439;-99.997439
Work_constr;0.7919877;4.6492005;0;-39.212406;0.5080647;Nan;5.8287234;Nan;0.0956469;-99.999421;-99.999421
Automobile;0.8415925;-0.0680089;0;1.334817;0.8414463;Nan;6.1820356;-1.520756;0.0753231;-0.5606756;-0.9773454
Load_PipeTransp;6.0549639;-0.4862194;0;-0.4862194;-7.939266;-8.3610632;Nan;0;3.0835908;-2.5457458;-5.5433907
PassTransp;3.1771283;-1.950397;0;-1.950397;-1.950397;Nan;Nan;Nan;1.0696348;-3.0792952;-3.0028549
Agri_Food_industry;1.8720074;-1.2424132;0;2.4708752;-0.2163427;-0.6735242;5.0659676;-1.8291373;0.7515758;0.4133788;1.2764192
Property_business;0.7353546;0.6548801;0;-44.687836;0.5612262;0.1004820;5.8846991;Nan;0.0190710;-99.999972;-99.999972
OthSectors;0.7947959;0.4853204;0;1.8431947;0.5711606;0.1103710;5.8951594;-0.9978951;0.0994403;-0.4613031;0.3192886
