CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;237.63083;862.8021;347.10648;41028.601;0;0;0;28;19.668534;69.50966;0.9865013
Natural_gas;226059.7;33.214939;252.31424;36307.029;11524.391;0;0;3336.2683;0.0319521;1.3184188;0.5750396
Coal;931.81133;3005.543;164.55276;7256.7383;27.941969;1.250e-15;0;103.5648;91.100648;0.4466893;0.3032419
AllFuels;738.59208;38281.42;454.05869;34266.765;29613.347;0;0;16932;59.936508;0.9061867;0.4607277
Electricity;1131.4056;42901.838;1008.5722;1603.2778;13540.753;0;0;5279.7936;10.22334;0.1186424;0.0351415
HeatGeoSol_Th;920.85964;3278.7439;1027.4916;0;1171.9762;0;0;0;70.509087;0;0
Heavy_Industry;1059.1943;175221.66;1000;127409.58;33673.486;20019.254;130.08447;93672.296;7.5030409;1.358583;0.6767444
Buildings_constr;1056.9457;51583.659;1000;3.163e-16;0;0;49701.729;0;0.2615628;0;0
Work_constr;1056.9877;222093.63;1000;3.080e-16;12520.619;0;145583.59;0;0.6597972;0;0
Automobile;22040.269;3078.4605;21043.918;2515.7179;2530.1974;0;578.13669;1774.6386;0.5822969;1.4750333;0.7188121
Load_PipeTransp;231.54809;367399.22;176.45045;10960.604;4245.7324;18454.711;0;8041.4979;22.487111;0.0359683;0.0225202
PassTransp;99.218616;184653.27;87.518192;5437.945;190091.22;0;0;0;10.502574;0.0259766;0.0253189
Agri_Food_industry;1077.8511;205061.97;1000;43649.695;113968.68;156.42169;1169.9002;31799.427;3.7459292;0.4079170;0.2000763
Property_business;83.028688;4035448.6;78.108601;2.718e-16;2766276.1;197812.14;109284.99;0;0.1766791;0;0
OthSectors;1059.4863;2713998.6;1000;332430.79;571001.75;511110.57;223153.31;324059.17;0.9707343;0.2272416;0.1151521
