CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;-0.8226540;-8.9411492;0;-8.9411492;Nan;Nan;Nan;0;0.2880030;0.8358973;0.0180655
Natural_gas;-0.8580522;-5.4640353;0;-5.4640353;-4.995991;Nan;Nan;0;0.0003994;1.2504325;0.6441814
Coal;180.52917;-10.005855;0;-10.005855;-4.995991;Nan;Nan;0;14.30214;-63.513499;-45.037077
AllFuels;1.700137;-4.1689485;0;-4.1689485;-4.995991;Nan;Nan;0;0.9745576;0.3791895;0.1505085
Electricity;6.0233786;-4.9207962;0;-4.9207962;-4.995991;Nan;Nan;0;5.1976771;1.7449155;-5.0794483
HeatGeoSol_Th;18.381038;-5.4417653;0;-52.28917;-4.995991;Nan;Nan;Nan;4.4709703;-99.96724;-99.96724
Heavy_Industry;1.9331533;-2.5609575;0;0.7400929;-2.0159575;-2.0740998;-2.21385;-1.6324614;2.1295575;0.7830902;0.5510271
Buildings_constr;-1.1751573;0.0344394;0;-41.234023;Nan;Nan;0.0344210;Nan;0.0486833;-99.997387;-99.997387
Work_constr;-1.2222803;0.0786446;0;-41.867305;0.2840968;Nan;0.0815590;Nan;0.1039586;-99.999409;-99.999409
Automobile;-0.8619139;0.9667696;0;-0.4766271;-0.4659694;Nan;-0.6692283;1.6102337;0.0792216;0.1798835;0.4931854
Load_PipeTransp;4.2087203;-0.3990999;0;-0.3990999;-8.0875794;-8.142119;Nan;0;3.4021778;-1.5374606;-3.9102227
PassTransp;1.1086968;-2.0691163;0;-2.0691163;-2.0691163;Nan;Nan;Nan;1.2008656;-1.0965395;-1.0687762
Agri_Food_industry;0.1830256;-0.7262332;0;-0.3643117;-1.0839795;-1.1426748;-1.2837542;-0.1826688;0.7877776;0.3523147;0.2540510
Property_business;-1.2502194;0.3306224;0;-44.86544;0.3176815;0.2581544;0.1150759;Nan;0.0205180;-99.999971;-99.999971
OthSectors;-1.2853818;0.6087219;0;-1.5741241;0.2159932;0.1565265;0.0135930;1.6181231;0.1082350;0.0855277;-0.6703028
