2020;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;36974.422540876;9513.00177514;0;0;0;0;0;0;0;45541.358894712
FinEnHTr;127.9502946296;0;543.42312380972;37824.755428796;23754;0;0;8828.826981772;0;0;30629.63893314
FinEnHRes;62.9964072992;1525.24704587;14213.800707288;53714.55960664;28955;0;0;23743.252115572;0;0;54358.783266872
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
