2045;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;42938.9008270192;11047.578615688;0;0;0;0;0;0;0;52887.8007748704
FinEnHTr;148.59042100832;0;631.084680080624;43926.4039990832;27585.4983393136;0;0;10253.0371034224;0;0;35570.617149288
FinEnHRes;73.15858638464;1771.290182204;16506.6804835296;62379.450155488;33626.3199889248;0;0;27573.3622823824;0;0;63127.5958723424
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
