reference_year;2018
current_year;2030
GDP;0.01
Population;0.008260958
Labour_force;0.008773688
Retired;0.039178893
GDP_world;0.032679739
pM_Crude_oil;-0.159808796
units;mean_yearly_growth_rate_OrPercentforShare
