sector;2030;2050;;;;;;;;
Oil;;;;;;;;;;
Gas_heating;;;;;;;;;;
Coal_lignite;;;;;;;;;;
Electricity;;;;;;;;;;
Steel_Iron;;;;;;;;;;
NonFerrousMetals;;;;Oil;0,03818;0,0144277;;;;-95%
Cement;;;;Gas_heating;0,01051;0,0027136;;;;-64%
OthMin;;;;Coal_lignite;0,00001;0,0000003;;;;-84%
ChemicalPharma;;;;Electricity;0,02277;0,006355;;;;-4%
Paper;;;;Steel_Iron;0,00015;0,0000059;;;;
Auto_transport;;;;NonFerrousMetals;0,00023;0,0000112;;;;
LandTransp;;;;Cement;0,00039;0,0000222;;;;
NavalTransp;;;;OthMin;0,00325;0,0004196;;;;
AirTransp;;;;ChemicalPharma;0,03096;0,0110906;;;;
AgriForest_Fish;;;;Paper;0,00446;0,0006925;;;;
Food_industry;;;;Auto_transport;0,059;0,0295816;;;;
Construction;;;;LandTransp;0,01472;0,0056284;;;;
ManufacturedGoods;;;;NavalTransp;0,00036;0,0000234;;;;
Compo;;;;AirTransp;0,00785;0,0018463;;;;
;;;;AgriForest_Fish;0,02949;0,0108521;;;;
;;;;Food_industry;0,10943;0,0677198;;;;
;;;;Construction;0,01149;0,0030768;;;;
;;;;ManufacturedGoods;0,15139;0,107033;;;;
;;;;Compo;0,50536;0,7384998;;;;
