IC_Q,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,FC_Q,C,G,I,X
Crude,0,0,0, 39.9,0,0,0,0,0,0,0,0,0,Crude,0,-100,-100, 39.9
Natur, 39.9,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,Natur, 39.9,-100,-100, 39.9
Coal ,0,0, 39.9,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9,Coal , 39.9,-100,-100, 39.9
FuelP,0,0,0,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,FuelP, 39.9,-100,-100, 39.9
Elect, 39.9, 39.9, 39.9, 39.9,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,Elect, 39.9,-100,-100, 39.9
HeatG,0,0,0,0,0,0,0,0,0,0, 39.9, 39.9, 39.9,HeatG, 39.9,-100,-100,-100
Steel,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,Steel, 39.9,-100, 39.9, 39.9
NonFe,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,NonFe, 39.9,-100, 39.9, 39.9
Cemen,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,Cemen, 39.9,-100,-100, 39.9
OthMi,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,OthMi, 39.9,-100,-100, 39.9
OthIn,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,OthIn, 39.9, 39.9, 39.9, 39.9
Agric,0, 39.9,0,0, 39.9, 39.9,0,0,0,0, 39.9, 39.9, 39.9,Agric, 39.9,-100, 39.9, 39.9
Compo, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,Compo, 39.9, 39.9, 39.9, 39.9
OthQ,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,,,,,
Y,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,,,,,
M,39.9,39.9,39.9,39.9,39.9,-30,39.9,39.9,39.9,39.9,39.9,39.9,39.9,,,,,
Labour,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,,,,,
Capital_consumption,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,,,,,
,,,,,,,,,,,,,,,,,,
Units,0.01 ktoe / ktons,,,,,,,,,,,,,,,,,
