CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;180.01699;3367.4822;444.96;90424.467;0;0;0;73.888188;4.3577244;66.428338;0.9859744
Natural_gas;12404.842;890.35957;233.923;58620.798;20147.047;0;0;3577.6972;0.1253170;1.3066037;0.5704345
Coal;330.08401;4743.1687;179.45225;16919.172;678.16629;0;0;249.21947;77.86475;1.9869673;0.6706645
FuelProd;614.04206;81426.683;433.27962;51989.963;44015.377;0;0;36192.179;83.005361;0.8375719;0.4236341
Electricty;748.00857;56580.415;654.10338;2193.6409;19035.519;0;0;6040.2995;8.7601575;0.1078652;0.0353179
HeatGeoSol_Th;666.37343;3379.1839;666.37343;3.107e-16;135.51389;0;0;0;63.637397;0;0
Steel_Iron;504.69321;42491.729;690.64125;22233.239;256.03737;0;92.099772;28405.582;14.166896;1.5323309;0.7958369
NonFerrousMetals;1000;29674.003;1000;17354.32;305.94291;0;110.0514;10235.851;2.473086;0.9520146;0.4802959
Cement;113.57299;46040.522;100.88169;4297.7125;3055.0004;0;0;1834.6796;19.407727;0.1572578;0.0822105
OthMin;1000;27145.555;1000;8918.6032;2927.7438;0;0;4523.6994;4.8867779;0.5596737;0.2993814
OthIndus;1000;699124.22;1000;237979.74;270802.38;31605.539;76378.875;242689.43;4.5009163;0.7496325;0.3655617
Agriculture;1000;95128.187;1000;13366.474;33433.035;0;1392.6557;14380.496;4.0419048;0.3374344;0.1489108
Composite;1000;3932376.7;1000;343094.35;1008452.3;677406.77;419441.67;296883.48;1.0600125;0.1586426;0.0858869
