CompT%;pY - p Fisher;Y - qFisher;pM - p Fisher;M - qFisher;pX - p Fisher;X - qFisher;C- qFisher;Ener Cost Share;Trade Intens;Import Penet Rate
Metals;-2.162e-08;39.94505;0;39.94505;-1.328e-08;39.94505;39.94505;7.501e-09;-3.744e-09;-4.116e-09
Non Metallic Minerals;-2.335e-08;39.94505;0;39.94505;-1.816e-08;39.94505;39.94505;9.899e-09;-3.199e-09;-1.563e-09
