IC_value,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,C,G,I,X,Uses,
Crude,0,0,0, 39.9,0,0,0,0,0,0,0,0,0,0,0,0, 39.9,39.9,
Natur, 39.9,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0,0, 39.9,39.9,
Coal ,0,0, 39.9,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9, 39.9,0,0, 39.9,39.9,
FuelP,0,0,0,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0,0, 39.9,39.9,
Elect, 39.9, 39.9, 39.9, 39.9,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0,0, 39.9,39.9,
HeatG,0,0,0,0,0,0,0,0,0,0, 39.9, 39.9, 39.9, 39.9,0,0,0,39.9,
Steel,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9, 39.9,39.9,
NonFe,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9, 39.9,39.9,
Cemen,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0,0, 39.9,39.9,
OthMi,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0,0, 39.9,39.9,
OthIn,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,39.9,
Agric,0, 39.9,0,0, 39.9, 39.9,0,0,0,0, 39.9, 39.9, 39.9, 39.9,0, 39.9, 39.9,39.9,
Compo, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,39.9,
Labour_income, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
Labour_Tax, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
Capital_income, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
Production_Tax, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
Profit_margin, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
M_value, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
Trade_margins, 39.9,0, 39.9, 39.9,0,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
Transp_margins, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
SpeMarg_Crude_oil,0, 39.9,0,0, 39.9,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_Natural_gas,0,0,0,0, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_Coal,0, 39.9, 39.9,0, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_FuelProd, 39.9, 39.9,0,0, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_Electricty,0, 39.9, 39.9, 39.9,0,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_HeatGeoSol_Th,0, 39.9, 39.9, 39.9, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_Steel_Iron,0, 39.9, 39.9, 39.9, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_NonFerrousMetals,0, 39.9, 39.9, 39.9, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_Cement,0, 39.9, 39.9, 39.9, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_OthMin,0, 39.9, 39.9, 39.9, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_OthIndus,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_Agriculture,0, 39.9,0, 39.9, 39.9, 39.9, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_Composite,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_C,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9,0,0,0,0,,,,,,
SpeMarg_G,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SpeMarg_I,0,0,0,0,0,0, 39.9,0,0,0,0,0,0,,,,,,
SpeMarg_X, 39.9, 39.9, 39.9, 39.9, 39.9,0, 39.9,0, 39.9,0,0,0,0,,,,,,
VA_Tax,0, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9, 39.9,,,,,,
