CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;-2.542e-08;39.94505;0;39.94505;Nan;Nan;Nan;39.94505;1.526e-10;2.541e-08;3.658e-10
Natural_gas;-2.661e-08;39.94505;0;39.94505;39.94505;Nan;Nan;39.94505;3.654e-12;2.491e-08;1.120e-08
Coal;-6.835e-09;39.94505;0;39.94505;39.94505;Nan;Nan;39.94505;2.631e-09;6.300e-09;1.996e-09
FuelProd;-4.299e-09;39.94505;0;39.94505;39.94505;Nan;Nan;39.94505;2.334e-09;-4.976e-09;-3.591e-09
Electricty;-2.451e-08;39.94505;0;39.94505;39.94505;Nan;Nan;39.94505;1.176e-09;-1.199e-08;1.004e-08
HeatGeoSol_Th;-1.633e-08;39.94505;0;-30.027475;39.94505;Nan;Nan;Nan;2.293e-09;Nan;Nan
Steel_Iron;-1.855e-08;39.94505;0;39.94505;39.94505;Nan;39.94505;39.94505;1.197e-09;-3.839e-09;-6.538e-09
NonFerrousMetals;-2.384e-08;39.94505;0;39.94505;39.94505;Nan;39.94505;39.94505;1.536e-10;-3.293e-09;-2.575e-09
Cement;-1.890e-08;39.94505;0;39.94505;39.94505;Nan;Nan;39.94505;1.652e-09;-4.244e-09;-6.620e-10
OthMin;-2.420e-08;39.94505;0;39.94505;39.94505;Nan;Nan;39.94505;4.910e-10;-2.922e-09;-1.490e-09
OthIndus;-2.369e-08;39.94505;0;39.94505;39.94505;39.94505;39.94505;39.94505;6.004e-10;-2.124e-09;-1.710e-09
Agriculture;-2.400e-08;39.94505;0;39.94505;39.94505;Nan;39.94505;39.94505;6.030e-10;-2.023e-09;-7.236e-10
Composite;-2.787e-08;39.94505;0;39.94505;39.94505;39.94505;39.94505;39.94505;1.187e-10;-6.702e-10;-1.049e-10
