Variable/Sectoral value;Crude_oil;Natural_gas;Coal;FuelProd;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;OthIndus;Agriculture;Composite
Households consumption Nominal 0 %share;0;0.96;0.01;3.84;1.81;0.01;0.02;0.02;0.04;0.33;22.81;2.97;67.19
Government consumption Nominal 0 %share;0;0;0;0;0;0;0;0;0;0;5.57;0;94.43
Investment Nominal 0 %share;0;0;0;0;0;0;0.02;0.02;0;0;18.64;0.36;80.96
Exports Nominal 0 share(%);0.01;0.11;0.01;3.01;0.49;0;2.72;1.69;0.06;0.97;44.43;2.91;43.6
Imports Nominal 0 share(%);5.61;1.91;0.42;3.14;0.2;0;2.14;2.42;0.06;1.24;33.17;1.86;47.82
