alpha,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo
Crude,0,0,0,1.2,0,0,0,0,0,0,0,0,0
Natur,0,0,0,0,0.1,1,0,0,0,0.1,0,0,0
Coal ,0,0,1,0,0.1,0,0.2,0,0,0,0,0,0
FuelP,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Elect,0,0,0,0,0,0.1,0,0,0,0,0,0,0
HeatG,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,0,0,0,0,0,0,0.3,0,0,0,0,0,0
NonFe,0,0,0,0,0,0,0.2,0,0,0,0,0,0
Cemen,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0
OthMi,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0
OthIn,0,1,0,0,0.1,0,0,0.1,0,0.1,0.2,0.2,0
Agric,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0
Compo,0.1,3.9,0,0.1,0.2,0.1,0.1,0.6,0,0.4,0.4,0.2,0.4
,,,,,,,,,,,,,
lambda,0,0,0,0,0,0,0,0,0,0,0,0,0
kappa,0,2,0,0,0.1,0,0,0,0,0,0.1,0.2,0.1
,,,,,,,,,,,,,
Units,nan,,,,,,,,,,,,
