IC_Q,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,FC_Q,C,G,I,X
Crude,0,0,0,66967.8,0,0,0,0,0,0,0,0,0,Crude,0,0,0,52.8
Natur,9.8,0,1.8,841.2,4190.7,2510.9,795.6,215.8,305.8,1226.3,4693.3,210.5,10570,Natur,14396.4,0,0,2556.5
Coal ,0,0,3528.4,0,5324.3,10.9,4635.6,0.8,301.7,173.7,650.8,0,190.2,Coal ,484.6,0,0,178.1
FuelP,0,0,0,0,1087.8,173,55.4,203.9,661.3,457.8,20246.2,3336.8,11799.3,FuelP,31451.9,0,0,25861.7
Elect,27,17.1,5,272.2,0,181,855.4,625.2,307.8,460.3,6280.5,294.8,14753.5,Elect,13602.1,0,0,4316.2
HeatG,0,0,0,0,0,0,0,0,0,0,264,6.4,2047.4,HeatG,96.8,0,0,0
Steel,0,4.6,19.2,37,16,0.3,9662.8,701.3,15.5,226.1,2622.3,11.8,12386.8,Steel,183,0,65.8,20297.7
NonFe,0,5.9,24.7,47.5,20.6,0.4,5397,900.5,9.5,300.7,3366.9,15.2,15904.5,NonFe,218.6,0,78.6,7314.2
Cemen,0,28.7,1.1,8.9,100.5,2.1,162.9,39.4,14706,2406,2607.5,177.8,12235,Cemen,2183,0,0,1311
OthMi,0,34,1.4,10.5,119.2,2.5,193.1,46.6,312.2,1924.9,3090.3,210.8,14500.3,OthMi,2092.1,0,0,3232.5
OthIn,0,627,21.5,496.6,2194.7,46.5,494.7,2636.7,176.7,1687.5,100955.5,11797.6,104401.9,OthIn,193506.2,22584.2,54577.8,173417.7
Agric,0,2.7,0,0,9.6,0.2,0,0,0,0,27256.9,10761.4,4334.8,Agric,23890.1,0,995.1,10275.8
Compo,214.8,2491.9,132.8,4150.2,8723.4,185,2599.8,13269.6,741.6,7084.1,191366.2,10838,1096790.1,Compo,720605.9,484052,299718.8,212142.9
OthQ,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,,,,,
Y,2406.3,636.2,3389.3,58184.8,40430.5,2414.7,30363.2,21204,32899,19397.3,499570.5,67975.4,2809943.4,,,,,
M,64614.3,41888.4,12089.9,37150.3,1567.5,0,15887.1,12400.8,3071,6372.9,170052.3,9551.2,245163.6,,,,,
Labour,0.3,23.2,0.5,4.2,81.1,1.7,38.5,39.9,5,99.2,1214.3,249.4,23464.7,,,,,
Capital_consumption,109.7,1266.9,10.5,213.8,4434.8,94,594.9,698.3,224.7,576.1,25640.4,10460.1,210028.3,,,,,
,,,,,,,,,,,,,,,,,,
Units,1 ktoe / ktons,,,,,,,,,,,,,,,,,
