;L1;L2;L3;L4;L5
Crude_oil;-0.39;-0.39;-0.39;-0.39;-0.39
Liquid_fuels;-0.39;-0.39;-0.39;-0.39;-0.39
Gas_fuels;-0.03;-0.03;-0.03;-0.03;-0.03
Solid_fuels;-0.03;-0.03;-0.03;-0.03;-0.03
Elec_heating;-0.03;-0.03;-0.03;-0.03;-0.03
Steel_Iron;-0.03;-0.03;-0.03;-0.03;-0.03
NonFerrousMetals;-0.03;-0.03;-0.03;-0.03;-0.03
Cement;-0.03;-0.03;-0.03;-0.03;-0.03
OthMin;-0.03;-0.03;-0.03;-0.03;-0.03
ChemicalPharma;-0.03;-0.03;-0.03;-0.03;-0.03
Paper;-0.03;-0.03;-0.03;-0.03;-0.03
Auto_transport;-0.03;-0.03;-0.03;-0.03;-0.03
OthEquip;-0.03;-0.03;-0.03;-0.03;-0.03
Electronics;-0.03;-0.03;-0.03;-0.03;-0.03
Food_industry;-0.03;-0.03;-0.03;-0.03;-0.03
OthManuf;-0.03;-0.03;-0.03;-0.03;-0.03
LandTransp;-0.03;-0.03;-0.03;-0.03;-0.03
NavalTransp;-0.03;-0.03;-0.03;-0.03;-0.03
AirTransp;-0.03;-0.03;-0.03;-0.03;-0.03
AgriForest_Fish;-0.03;-0.03;-0.03;-0.03;-0.03
Construction;-0.03;-0.03;-0.03;-0.03;-0.03
Property_business;-0.03;-0.03;-0.03;-0.03;-0.03
Compo;-0.03;-0.03;-0.03;-0.03;-0.03
