;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Liquid_fuels;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Gas_fuels;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Solid_fuels;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Elec_heating;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Steel_Iron;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
NonFerrousMetals;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Cement;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
OthMin;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
ChemicalPharma;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Paper;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Auto_indus;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
OthEquip;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Electronics;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Food_industry;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
OthManuf;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
LandTransp;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
NavalTransp;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
AirTransp;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
AgriForest_Fish;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Construction;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Property_business;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Compo;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
