;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agri_Forestry;Fishing;Food_industry;Composite
Labour;0.261634143;23.17298437;0;0.008593863;0.043824094;0.409158157;0.289235073;0.513770656;0.030884091;2.298464966;0.488895176;0.237832824;0.354795199;81.11984484;1.720102589;38.516;39.86402;4.952;99.20707;154.14857;96.69434789;63.73396;9.585932393;119.567398;211.906841;222.0591333;27.31137;558.67541;23464.70801
Thousand of Full-time equivalent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
