;PrimEnergy;FinEnHTr;FinEnHRes;AllComp
PrimEnergy;1.0;1.0;1.0;1.0
FinEnHTr;1.0;1.0;1.0;1.0
FinEnHRes;1.0;1.0;1.0;1.0
AllComp;1.0;1.0;1.0;1.0
