;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
PrimEnergy;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
FinEnHTr;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
FinEnHRes;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
AllComp;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
