ConstrainedShare_C;L1;L2;L3;L4;L5
PrimEnergy;0;0;0;0;0
FinEnHTr;0.367500890473936;0.392043685468388;0.395840764477371;0.434891874134245;0.490646166402708
FinEnHRes;0.432031483068501;0.486328964446589;0.575612023569931;0.672016917993221;0.704792429879942
AllComp;%nan;%nan;%nan;%nan;%nan
