2040;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;39174.200708337;10078.9739303193;0;0;0;0;0;0;1152.41611976927;48250.8234415171
FinEnHTr;135.562645149348;0;575.753860608342;40075.123804119;25166.919221737;0;0;9354.0944370601;0;49271.5418686218;32451.9367912836
FinEnHRes;66.7443528215963;1615.9909959014;15059.4449749697;56910.2853915888;30678.1073329201;0;0;25155.8472026384;0;82656.9819011903;57592.8368753636
AllComp;102.557043806431;12964.2652855562;20850.3459334084;2360297.16712739;1254216.53;0;0;790934.295;0;4964216.97628639;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
