2020;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;37047.966873859;9531.923703385;0;0;0;0;0;0;947.947201886;45631.943375358
FinEnHTr;128.2047954014;0;544.50402483323;37899.991124639;23800.949930947;0;0;8846.388045523;0;40529.474940285;30690.5631128849
FinEnHRes;63.1217109128;1528.2808532675;14242.072805142;53821.4010712599;29013.010697646;0;0;23790.478860973;0;67991.460172618;54466.906130798
AllComp;84.360727902236;10664.06377968;17150.946387219;1941518.3949751;1031685.543;0;0;748005.244;0;4083434.370189;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
