;2030;2050
Crude_oil;0.09063466522329772;0.10381952242680954
Liquid_fuels;0.013926126492719407;0.015951995830374887
Gas_fuels;0.946696105433341;1.391722488833299
Solid_fuels;0.00405663924503005;0.0031393434906102783
Elec_heating;0.15012146520278538;0.3177982544589967
Steel_Iron;0.05702346645815346;0.07034274394276598
NonFerrousMetals;0.03737830194537692;0.044908954883410276
Cement;0.08919911428302382;0.10563381661095873
OthMin;0.024625021451642613;0.029769181447229853
ChemicalPharma;0.04960883244839874;0.05954785526649164
Paper;0.04517056613181559;0.04801859794249478
Auto_indus;0.07578568161624824;0.07783411303724283
OthEquip;0.029220829123345265;0.03160264321044725
Electronics;0.1827184392070784;0.197611971168121
Food_industry;0.046737579816197056;0.05118418971874042
OthManuf;0.041889156016907174;0.045430473073657815
LandTransp;0.08660990197331052;0.10258939611059745
NavalTransp;0.11116659178791793;0.11800231595556983
AirTransp;0.13432342286931545;0.13805997589834368
AgriForest_Fish;0.16388421523462487;0.1581805291254886
Construction;0.036539034942765364;0.0402341430564325
Property_business;0.24643996137137583;0.25956390106886973
Compo;0.1108436903029735;0.11494453092050498
