2026;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;0;0;0;0;3657;0;0;0;0;0;0;142.5030526;9714.737601;381.7664735;1255.012134;194.7071003;9.690121644;44.93204955;0;144.5345117;43.00952499;3.465478922;8.941789469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15600.29984;2228.262324;13372.03751
CrudeOil;0;0;0;45824.76156;0;52023.81355;0;21740.22489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147156.9;266745.7;249143.5198;17602.1802
NaturalGas;0;18656.58424;4432.043055;1449.465536;0;1645.545382;0;687.6567523;0;8235.516085;0;0;0;0;0;0;4.62905248;1317.77741;549.6947235;769.9890115;2194.768018;161.6516078;749.5610808;233.1363956;948.1835563;1454.644232;730.6639404;1885.292993;0;0;0;0;1477.708391;0;0;0;3.690096737;21.144714;21.25582436;264.0456254;796.5553648;0;0;0;48691.20308;44270.33272;4420.87036
OthFossFuel;0;773.857652;739.7551439;1521.689722;0;1717.299701;0;779.0089132;0;1471.780777;2.477266553;4.265509648;10.00397703;21.84857356;6.725060656;3.212076566;3428.430305;279.8412802;657.533454;2254.282634;1700.183192;74.9606337;347.5843783;44.5035964;414.1108237;471.9499403;196.0653075;505.8968014;0;0;538.1193419;1005.027103;0;0;3465.002295;0;22.1693132;127.0329264;127.7004537;469.9243402;7378.753881;0;0;13976.70324;44537.69961;42120.05763;2417.64198
OthBiofuel;0;0;0;0;2052.930536;0;0;0;0;3527.342636;105.9968918;182.5119562;428.0485965;934.8533303;287.750838;137.4378271;316.4587814;3552.889894;0;14.7476465;67.21835936;440.2258415;2041.279774;66.58730678;11823.81961;2431.343292;288.685686;744.8801985;0;0;0;0;0;0;0;0;0;0;0;172.7991022;5471.166631;0;0;0;35088.97474;35088.97474;0
Diesel;0;1344.181633;0;3.535899574;0;3.751993237;0.238438709;1.810156988;0;89.72814246;343.1103247;590.7884231;1385.586789;3026.105995;931.4450811;444.8841535;57.45179327;40.16070742;474.7770093;11.90580521;17.83727659;43.15273933;200.0946008;1.502213687;209.8159715;17.72608445;38.06799002;98.22479372;31437.6072;1334.539266;0;269.7623063;9098.498531;0;0;90.95375044;0.213395942;1.222785329;1.22921077;6.208028088;0;0;0;0;51616.11849;50454.19864;1161.919852
Biodiesel;0;0;0;0;0;0;0;0;0;0;21.33404299;36.73426507;86.15353719;188.1583582;57.91574305;27.66217445;3.942721745;1.911549434;26.06992369;0;1.183444249;2.799395466;12.98049502;0.152024616;11.4483479;1.580044711;3.277826087;8.457598918;1948.567444;64.13602307;0;0;563.9436206;0;0;0;0.013886045;0.079568767;0.079986881;0.275390891;0;0;0;0;3068.857413;3068.857413;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3108.345232;0;50.32306922;0;0;0;0;0;22794.5317;0;0;0;25953.2;22342.81391;3610.386089
Ethanol;0;0;0;0;0;0;0;0;0;0;0.699830044;1.205010338;2.82613257;6.172241812;1.899835724;0.907414538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1902.344443;0;0;0;0;0;0;0;15391.69595;0;0;1345.95381;18653.70467;18653.70467;0
Electricity;0;916.1263767;62.13046614;160.3982747;44.61581334;170.2008865;10.8162454;82.11377381;598.8932738;11951.10459;153.3600776;264.0647975;619.3159522;1352.579089;416.3281593;198.8499424;616.2388042;2727.677856;1465.724108;3184.59382;1946.524666;464.5428229;2154.034996;604.2793348;2412.193566;364.8018809;1365.039458;3522.13813;0;0;0;0;0;248.2007489;0;0;327.9665834;1879.289379;1889.164591;11021.72922;16833.91232;0;0;0;70028.95;68346.2;1682.75
