reference_year;2018;2030
current_year;2030;2050
GDP;0.0321110838104266;0.220189441579058
GDP_world;0.0466850371054568;0.280174849853478
Population;0.00200023883448769;0.000437317784256566
Labour_force;0.000814272304564013;-0.000786104247256212
Retired;0.023438673;0.0079111127
pM_Oil;0.0425435750801684;0.0207862139566627
pM_Natural_gas;0.0145508992240149;0.0189208099438653
pM_Coal_lignite;-0.00555317806625836;0.0104319114027892
pM_Elec_heating;0.0137186608557767;0.0155112610706765
units;mean_yearly_growth_rate;mean_yearly_growth_rate
