reference_year;2018;2030;2040
current_year;2030;2040;2050
GDP;0.00716989429674597;0.01108260190955;0.0150847932902065
GDP_world;0.0110282904202608;0.0119521506394487;0.0120789264257604
Population;0.00197856523676765;0.000871212074141647;0
Labour_force;0.000810648192526964;0.000281659658143418;0.0865424468823408
Retired;0.023438673;0.00395555635;0.00395555635
pM_Oil;0.0355149138036945;0.0150010479020912;0.020073293318704
pM_Natural_gas;0.0135889227104269;0.0318978480489966;0.000694078860379088
pM_Coal_lignite;-0.00573037708143587;0.0123356969458599;0.00671161988687419
pM_Elec_heating;0.0127213188362221;0.0133971836855752;0.0138014313020067
units;mean_yearly_growth_rate;mean_yearly_growth_rate;mean_yearly_growth_rate
