reference_year;2012;2015;2025;2030;2035;2040;2045
current_year;2015;2025;2030;2035;2040;2045;2050
GDP;0.00845777;0.01726264;0.032;0.027;0.027;0.027;0.027
Population;0.01104917;0.00963742;0.00801603;0.00706372;0.00618134;0.00527967;0.00455321
Retired;0.02069488;0.01992207;0.01822161;0.01899163;0.02223131;0.02142026;0.01904958
Labour_force;0.00001063;0.01401683;0.01048349;0.01048349;0.01048349;0.01048349;0.01048349
GDP_world;0.025;0.03;0.025;0.025;0.025;0.022;0.02
units;mean_yearly_growth_rate;mean_yearly_growth_rate;mean_yearly_growth_rate;mean_yearly_growth_rate;mean_yearly_growth_rate;mean_yearly_growth_rate;mean_yearly_growth_rate
