CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;241.76111;859.7416;347.10648;40883.065;0;0;0;28;19.618561;68.322332;0.9862605
Natural_gas;229805.93;32.973798;252.31424;36043.44;11524.391;0;0;3336.2683;0.0318986;1.2983617;0.5709726
Coal;933.64131;2967.3748;164.55276;7164.5832;27.941969;2.004e-14;2.541e-16;103.5648;90.994942;0.4461028;0.3028812
AllFuels;743.86497;38145.538;454.05869;34145.134;29613.347;0;0;16932;59.582514;0.9026550;0.4591031
Electricity;1149.2349;42604.777;1008.5722;1592.1763;13540.753;0;0;5279.7936;10.085504;0.1186776;0.0346354
HeatGeoSol_Th;931.06925;3249.8006;1027.4916;0;1171.9762;0;0;0;70.346841;0;0
Heavy_Industry;1074.4559;171924.6;1000;128163.15;33958.094;20194.884;131.30435;92547.464;7.4474091;1.3663484;0.6793612
Buildings_constr;1076.532;51537.038;1000;3.160e-16;0;0;49656.819;0;0.2581235;0;0
Work_constr;1077.0136;221523.19;1000;3.072e-16;12492.836;0;145393.87;0;0.6520315;0;0
Automobile;22388.923;3022.7878;21043.918;2535.5609;2550.2923;0;583.28679;1724.1652;0.5787198;1.4709066;0.7128986
Load_PipeTransp;235.32482;363854.48;176.45045;10854.853;4238.8233;18430.544;0;8041.4979;22.193197;0.0357351;0.0221696
PassTransp;101.08769;184100.73;87.518192;5421.673;189522.41;0;0;0;10.381673;0.0254963;0.0248624
Agri_Food_industry;1094.7006;203026.75;1000;44571.355;114407.91;157.07451;1175.4869;31312.314;3.7122005;0.4092131;0.2021861
Property_business;84.568938;4019925.8;78.108601;2.707e-16;2760990.4;197497.02;109176.29;0;0.1753445;0;0
OthSectors;1080.1871;2683165.4;1000;339615.58;570581.34;510896.85;223193.68;316413.96;0.9625293;0.2272219;0.1163470
