IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;345.7;345.7;345.7;375.8;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;362.9;
Natur;598.6;485.6;598.6;598.6;598.6;598.6;599.8;761.8;686.3;686.3;686.3;686.3;692.5;686.3;686.3;1092.4;586.3;586.3;223.1;
Coal ;414.6;414.6;881.2;414.6;700.6;710.6;978;414.6;938.7;1155;414.6;414.6;743.4;938.7;773.3;958.9;493.1;493.1;550;
AllFu;870.3;870.3;870.3;870.3;779.3;860.9;1105;1351.6;1342.9;1510.8;1371.2;1371.2;1089;1342.9;1261.4;1750.4;1403;1403;597;
Elect;879.8;879.8;879.8;879.8;1199.9;879.8;766;1317.8;1265.1;879.8;879.8;879.8;953.9;1265.1;1313.1;2201.6;1824.9;1824.9;796.4;
HeatG;949.6;949.6;949.6;949.6;949.6;949.6;949.6;949.6;952.5;949.6;949.6;949.6;952.5;952.5;952.5;1067.8;1149.6;1149.6;942.5;
Heavy;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1347;1494.3;1494.3;1494.3;1342.4;
Build;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1081.1;1217.2;1217.2;1217.2;1076.5;
Work_;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1081.9;1181.8;1181.8;1181.8;1077;
Autom;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;26495.4;27520.2;30489.1;45110.4;26788.8;
Load_;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;179.2;179.2;179.2;142.3;
PassT;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;95.8;95.8;95.8;100.7;
Agri_;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1476.3;1559.6;1559.6;1559.6;1481.1;
Prope;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;84.6;85.7;85.7;85.7;84.6;
OthSe;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1024.8;1092;1092;1092;1008;
;;;;;;;;;;;;;;;;;;;;
w;91777.4;63769.7;45549.1;79326.7;63769.7;63769.7;52967.7;39211.8;21674.3;71623.7;219324.1;49697.7;35501.6;24175.1;34412;;;;;
pL;133164;92526.3;66089.3;115098.7;92526.3;92526.3;76853.2;56894.2;31448.3;103922;318227.1;72108.6;51510.9;35076.7;49929.9;;;;;
pK;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;970.5;;;;;
pY;241.8;229805.9;933.6;743.9;1149.2;931.1;1074.5;1076.5;1077;22388.9;235.3;101.1;1094.7;84.6;1080.2;;;;;
pM;347.1;252.3;164.6;454.1;1008.6;1027.5;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;344.9;462.1;389.8;607;1144.2;931.1;1042.7;1076.5;1077;21775.4;233.6;100.7;1077.7;84.6;1071.2;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
