;2030;2050
Crude_oil;0.08236875756763927;0.08794662965058503
Liquid_fuels;0.012656059732873886;0.013513106559228176
Gas_fuels;0.6253646490208259;0.6953317868434536
Solid_fuels;0.003636592030944033;0.001252163056441953
Elec_heating;0.13200231919991703;0.15022056805854606
Steel_Iron;0.06168289598020131;0.06394190257974629
NonFerrousMetals;0.04780643060055659;0.049090044594587566
Cement;0.08945464197534445;0.09502105906334192
OthMin;0.04789325194775734;0.04858513204122304
ChemicalPharma;0.051218128645433104;0.05070505322539616
Paper;0.07058789511107146;0.06576115581300032
Auto_indus;0.07450538973690483;0.08166508647519963
OthEquip;0.029371105121093487;0.03038403740783147
Electronics;0.18365811807939705;0.18999200428344576
Food_industry;0.0467158907201206;0.048733368757046876
OthManuf;0.042092608133421534;0.043774971077518175
LandTransp;0.08864002929818104;0.08976335700571919
NavalTransp;0.11006349156654374;0.11365403704369834
AirTransp;0.1314499371528786;0.12630929722484915
AgriForest_Fish;0.1652842568738791;0.16050742840606116
Construction;0.03700453968850081;0.03970796701201497
Property_business;0.24828922389418331;0.256382497837221
Compo;0.11152996573797681;0.11378153816626892
