Sector;2030;2040;2050
Crude_oil;0.00011442285579996695;0.0001779764279501916;0.0002093813166553209
Liquid_fuels;0.00021801277850644593;0.0003391030165678207;0.000398939550077002
Gas_fuels;0.007731384532065324;0.00578715191421735;0.004359044710261311
Solid_fuels;0.00010558127232909214;0.00010240238535113361;8.866069967815752
Elec_heating;0.0017571506400181527;0.0014317530941978247;0.0012963032922331747
Steel_Iron;0.001992125871686853;0.0019150852801384868;0.0017053601048740926
NonFerrousMetals;0.0014717337968024066;0.001400220874613226;0.0012535037764650739
Cement;0.0010381166238550873;0.0010067735554262346;0.00092702465612339
OthMin;0.0041057743792023635;0.0038849400015657162;0.0034225245054555326
ChemicalPharma;0.000957347020282995;0.0009010315923356519;0.0007843473931179126
Paper;0.0029390494980195453;0.002769986944850278;0.0024326190877563625
Auto_indus;0.0007686702885914415;0.0007579906642462721;0.0007035575321512989
OthEquip;0.003322751034060798;0.003122531594209899;0.002746182141169349
Electronics;0.0028936776163696215;0.0027193129090774984;0.002391562205809953
Food_industry;0.00361944762460772;0.0033785037231028906;0.002940119622869267
OthManuf;0.004403087781254277;0.0041398607114135075;0.0036436694241939816
LandTransp;0.0016965651912973201;0.0016248472929020336;0.001456385331312166
NavalTransp;0.00023439613846961929;0.00022468370807922383;0.00020299173065716552
AirTransp;0.000822787055811725;0.0007599731838162352;0.0006443167542733926
AgriForest_Fish;0.0027912778103799654;0.002599756584264715;0.002273919704784828
Construction;0.009805217834407725;0.009550291514485717;0.008973983195309222
Property_business;0.0013285252658305558;0.0012446300025414697;0.0010932370121325453
Compo;0.007367524685498121;0.006909408539778857;0.006059325356064317
