;2030;2040;2050
Crude_oil;0.0704442;0.0704442;0.0704442
Liquid_fuels;0.0108238;0.0108238;0.0108238
Gas_fuels;0.006198288;0.006198288;0.006198288
Solid_fuels;0.0045661;0.0045661;0.0045661
Elec_heating;0.141137694749435;0.144933527491463;0.128339909170917
Steel_Iron;0.052567;0.052567;0.052567
NonFerrousMetals;0.0445561;0.0445561;0.0445561
Cement;0.0806921;0.0806921;0.0806921
OthMin;0.0431429;0.0431429;0.0431429
ChemicalPharma;0.0518909;0.0518909;0.0518909
Paper;0.0711208;0.0711208;0.0711208
Auto_indus;0.0622061;0.0622061;0.0622061
OthEquip;0.0275007;0.0275007;0.0275007
Electronics;0.1719627;0.1719627;0.1719627
Food_industry;0.0420333;0.0420333;0.0420333
OthManuf;0.0394464;0.0394464;0.0394464
LandTransp;0.109460372303616;0.109460372303616;0.109460372303616
NavalTransp;0.094580155906126;0.100672805060641;0.114146298898356
AirTransp;0.114397380490049;0.117308572457;0.11902504550307
AgriForest_Fish;0.178178299395715;0.180468619317881;0.182192968739489
Construction;0.0340782474085165;0.0325075469499593;0.0309027657412652
Property_business;0.244166684964576;0.250733434541621;0.22202665437146
Compo;0.108842171884169;0.111779020163905;0.114318388469736
