Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0; 2.5
GOS_byAgent; 2.4; 2.4; 2.4;0
NetCompWages_byAgent;0;0; 1.2;0
InsuranceContrib_byAgent;0;-6.3;0;0
Production_Tax_byAgent;0; 0.7;0;0
Energ_Tax_byAgent;0;-4.9;0;0
Carbon_Tax_byAgent;0; 1.354e+25;0;0
OtherIndirTax_byAgent;0; 0.9;0;0
VA_Tax_byAgent;0; 2.1;0;0
Property_income;0;0;0;0
Unemployment_transfers;0;-12.1;-12.1;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;0;0;0
Other_Transfers; 1.6; 1.6; 1.6; 1.6
Income_Tax;0;0;0;0
Corporate_Tax;-2.7;-2.7;0;0
Other_Direct_Tax;0;-3;-3;0
Disposable_Income; 2.9; 3.3; 0.6; 3.8
FC_byAgent;0;0; 0.6;0
GFCF_byAgent; 9.8;0; 0.6;0
Tot_FC_byAgent; 9.8;0; 0.6;0
NetLending; 174.8;-18.4; 0.6; 3.8
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
