CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;0;-8.5663496;0;-8.5663496;Nan;Nan;Nan;0;-0.9118770;0.0060829;0.0060040
Natural_gas;0;-4.7474893;0;-4.7474893;-4.995991;Nan;Nan;0;-0.0015731;0.3542866;0.2183909
Coal;0;-8.3513455;0;-8.3513455;-4.995991;Nan;Nan;0;120.34627;0.2094644;0.1184250
AllFuels;0;-3.7742426;0;-3.7742426;-4.995991;Nan;Nan;0;1.7933776;1.4907555;1.1186361
Electricity;0;-4.3101497;0;-4.3101497;-4.995991;Nan;Nan;0;5.0207628;3.1399521;0.3852627
HeatGeoSol_Th;0;-4.5314299;0;-51.829846;-4.995991;Nan;Nan;Nan;14.36827;-99.961219;-99.961219
Heavy_Industry;0;0.5419894;0;0.5419894;-0.1232127;0.0354241;5.8933961;-3.331e-14;1.6259153;-0.2684043;-0.3584938
Buildings_constr;0;5.8930471;0;-37.792341;Nan;Nan;5.8933961;Nan;0.0424436;-99.997418;-99.997418
Work_constr;0;4.7163356;0;-39.173409;-0.1232127;Nan;5.8933961;Nan;0.0798400;-99.999416;-99.999416
Automobile;0;0.6511478;0;0.6511478;-0.1232127;Nan;5.8933961;6.661e-14;0.0570415;-0.3021319;-0.4038381
Load_PipeTransp;0;0.6330089;0;0.6330089;-0.4931394;-0.3350901;Nan;0;4.1804393;-0.1044798;-0.0037755
PassTransp;0;-0.1232127;0;-0.1232127;-0.1232127;Nan;Nan;Nan;1.0724099;-7.883e-13;-8.105e-13
Agri_Food_industry;0;0.1331981;0;0.1331981;-0.1232127;0.0354241;5.8933961;-1.110e-14;0.684754;-0.0685110;-0.0281854
Property_business;0;0.2698859;0;-44.898816;-0.1232127;0.0354241;5.8933961;Nan;0.0111380;-99.999972;-99.999972
OthSectors;0;0.8312219;0;0.8312219;-0.1595976;-0.0010185;5.8548194;-0.0505657;0.0575637;-0.4073389;-0.0918252
