IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-8.6;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;0
Natur;-13.1;0;-12.9;-8.6;-9.1;-9.3;-4.5; 0.6;-0.5;-4.4;-4.4;-5.1;-4.9;-4.7;-4.2;Natur;-5;0;0;0
Coal ;0;0;-12.9;0;-9.1;-9.3;-4.5;0;-0.5;-4.4;0;0;-4.9;-4.7;-4.2;Coal ;-5;0;0;0
AllFu;0;0;0;0;-9.1;-9.3;-4.5; 0.6;-0.5;-4.4;-4.4;-5.1;-4.9;-4.7;-4.2;AllFu;-5;0;0;0
Elect;-13.1;-9.5;-12.9;-8.6;0;-9.3;-4.5; 0.6;-0.5;-4.4;-4.4;-5.1;-4.9;-4.7;-4.2;Elect;-5;0;0;0
HeatG;0;0;0;0;0;0;-4.5;0;-0.5;0;0;0;-4.9;-4.7;-4.2;HeatG;-5;0;0;0
Heavy;0;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;Heavy;-0.1;0; 5.9;0
Build;0;0;0;0;0;0;0; 5.9;0;0;0;0;0; 0.3;0;Build;0;0; 5.9;0
Work_;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;Work_;-0.1;0; 5.9;0
Autom;0;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;Autom;-0.1;0; 5.9;0
Load_;0;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;Load_;-0.5;-0.3;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;-0.1;0;0;0
Agri_;0;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;Agri_;-0.1;0; 5.9;0
Prope;0;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;Prope;-0.1;0; 5.9;0
OthSe;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;OthSe;-0.2;0; 5.9;-0.1
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;;;;;
M;-8.6;-4.7;-8.4;-3.8;-4.3;-51.8;0.5;-37.8;-39.2;0.7;0.6;-0.1;0.1;-44.9;0.8;;;;;
Labour;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;;;;;
Capital_consumption;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
