CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;239.60192;866.35341;347.10648;41197.475;0;0;0;28;18.468654;68.93764;0.9863824
Natural_gas;228016.2;33.466695;252.31424;36582.222;11524.391;0;0;3336.2683;0.0299796;1.3067498;0.5726068
Coal;332.16201;3060.7988;164.55276;7390.1509;27.941969;0;0;103.5648;197.14478;1.2268235;0.5523742
AllFuels;726.24492;38439.092;454.05869;34407.902;29613.347;0;0;16932;60.755328;0.9162215;0.4651814
Electricity;1067.1284;43177.375;1008.5722;1613.5748;13540.753;0;0;5279.7936;10.046426;0.1202691;0.0371646
HeatGeoSol_Th;777.87765;3310.3091;1027.4916;0;1171.9762;0;0;0;80.406386;0;0
Heavy_Industry;1039.1068;180801.6;1000;127159.04;34323.952;20450.51;140.8695;95226.837;6.9993988;1.3444086;0.6706230
Buildings_constr;1069.5141;54604.702;1000;3.348e-16;0;0;52612.739;0;0.2553231;0;0
Work_constr;1070.0669;232385.55;1000;3.222e-16;12469.766;0;154037.78;0;0.6356785;0;0
Automobile;22231.888;3068.8373;21043.918;2544.2254;2538.9104;0;616.33326;1746.5156;0.5601167;1.4679362;0.7123959
Load_PipeTransp;222.19646;371206.38;176.45045;11074.182;4596.5442;20023.182;0;8041.4979;23.265372;0.0364918;0.0234357
PassTransp;98.130645;188322.37;87.518192;5545.9979;193868.36;0;0;0;10.374118;0.0262646;0.0255925
Agri_Food_industry;1075.882;206837.23;1000;43867.651;115075.66;158.28579;1254.9577;31857.621;3.6429056;0.4062064;0.199513
Property_business;84.079871;4033005.7;78.108601;2.716e-16;2754118.4;197372.69;115592.57;0;0.1672991;0;0
OthSectors;1073.2821;2720000.7;1000;340554.78;568861.74;510306.6;236186.43;318737.74;0.9200630;0.2261226;0.1158227
