IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;-100;-100;-100;-0.6;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;-0.6;
Natur;43.2;-100;43.5;50.7;49.9;49.5;57.2;45.6;51.5;45.6;45.5;44.5;44.2;45;45.8; 29.5;-100;-100;0;37.7;
Coal ;-100;-100;138.8;-100;252.6;198.6;141.1;-100;157.9;106.1;-100;-100;196.8;146.9;189.9; 163.6;-100;-100;0;163.1;
AllFu;-100;-100;-100;-100;50.8;38.6;32.3;29.7;28.2;19.1;22.8;21.9;31.3;22.8;25.8; 17.8;-100;-100;0;18.2;
Elect;-13.1;-9.5;-12.9;-8.6;-100;-9.3;-4.5;0.6;-0.5;-4.4;-4.4;-5.1;-4.9;-4.7;-4.2;-5;-100;-100;0;-4.5;
HeatG;-100;-100;-100;-100;-100;-100;-4.5;-100;-0.5;-100;-100;-100;-4.9;-4.7;-4.2;-5;-100;-100;0;-4.6;
Heavy;-100;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;-0.1;0; 5.9;0;0.5;
Build;-100;-100;-100;-100;-100;-100;-100;5.9;-100;-100;-100;-100;-100;0.3;-100;-100;-100; 5.9;0;5.9;
Work_;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;-0.1;-100; 5.9;0;4.8;
Autom;-99.3;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;-0.1;-100; 5.9;0;1;
Load_;-100;-4.4;-8;-3.4;-4;-4.2;0.9;6.3;5.1;1;1;0.2;0.5;0.6;1.2;-0.1;0;-100; 0.3;1;
PassT;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-0.1;-100;-100;0;-0.1;
Agri_;-100;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;-0.1;0; 5.9;0;0.1;
Prope;-100;-4.7;-8.4;-3.8;-4.3;-4.5;0.5;5.9;4.7;0.7;0.6;-0.1;0.1;0.3;0.8;-0.1;0; 5.9;0;0.3;
OthSe;-8.5;-4.7;-8.3;-3.7;-4.3;-4.5;0.6;5.9;4.8;0.7;0.7;-0.1;0.2;0.3;0.9;-0.1;0; 5.9;0;0.9;
Labour_income;-8.4;-4.6;-8.2;-3.6;-4.1;-4.4; 0.7; 6.1; 4.9; 0.8; 0.8;0; 0.3; 0.4; 1;;;;;;
Labour_Tax;-15.2;-11.6;-15;-10.7;-11.2;-11.4;-6.7;-1.8;-2.9;-6.6;-6.6;-7.3;-7.1;-7;-6.5;;;;;;
Capital_income;-8.6;-4.7;-8.3;-3.8;-4.3;-4.5; 0.6; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;;;;;;
Production_Tax;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5; 5.9; 4.7; 0.7; 0.6;-0.1; 0.1; 0.3; 0.8;;;;;;
Profit_margin;-2.8;-4.3;-14045.6;-103.2;-35.2;-239;-32.3; 10.4; 18.1;-16.9;-1566.7;-147.2;-8.7; 0.5; 10.7;;;;;;
M_value;-8.6;-4.7;-8.4;-3.8;-4.3;-4.6; 0.5; 5.8; 4.6; 0.7; 0.6;-0.1; 0.1;-0.8; 0.8;;;;;;
Trade_margins;-8.6;-107.4;-8.4;-3.8;-101.2;-6.4; 0.5;-98.6;-119.4; 0.7;-101.5;-517.2; 0.1;-41.4; 0.3;;;;;;
Transp_margins;-8.6;-4.7;-8.4;-3.8;-4.3;-4.5; 0.5;-96.9;-177.9; 0.7; 0.1;-248; 0.1;-2044.9; 0.8;;;;;;
SpeMarg_Crude_oil;0;-13.1;0;0;-13.1;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;-9.5;0;0;0;0;-4.7;-4.7;0;0;-4.7;0;;;;;;
SpeMarg_Coal;0;-12.9;-12.9;0;-12.9;0;0;0;0;-8.4;-8.4;0;0;-8.4;0;;;;;;
SpeMarg_AllFuels;-8.6;-8.6;0;0;-8.6;0;0;0;0;-3.8;-3.8;0;0;-3.8;0;;;;;;
SpeMarg_Electricity;0;-9.1;-9.1;-9.1;0;0;0;0;0;-4.3;-4.3;0;0;-4.3;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-9.3;-9.3;-9.3;-9.3;0;0;0;0;-4.5;-4.5;0;0;-4.5;0;;;;;;
SpeMarg_Heavy_Industry;0;-4.5;-4.5;-4.5;-4.5;0;0;0;0; 0.5; 0.5;0;0; 0.5;0;;;;;;
SpeMarg_Buildings_constr;0; 0.6;0; 0.6; 0.6;0;0;0;0; 5.9; 5.9;0;0; 5.9;0;;;;;;
SpeMarg_Work_constr;0;-0.5;-0.5;-0.5;-0.5;-0.5;0;0;0; 4.7; 4.7;0;0; 4.7;0;;;;;;
SpeMarg_Automobile;0;-4.4;-4.4;-4.4;-4.4;0;0;0;0; 0.7; 0.7;0;0; 0.7;0;;;;;;
SpeMarg_Load_PipeTransp;0;-4.4;0;-4.4;-4.4;0;0;0;0; 0.6;0;0;0; 0.6;0;;;;;;
