;2030;2050
Crude_oil;0.1003431230928898;0.1427194282614161
Liquid_fuels;0.015417790190431869;0.021928938757426665
Gas_fuels;0.9559760235989438;1.3709304171297976
Solid_fuels;0.00746211170090256;0.00714596045661022
Elec_heating;0.14361368461463409;0.3018232053787921
Steel_Iron;0.058880165203336304;0.06286722547429698
NonFerrousMetals;0.05002440487237976;0.05381668224309515
Cement;0.0922607982742024;0.10610421717402956
OthMin;0.04789965653777017;0.050767266185622585
ChemicalPharma;0.05381179865239238;0.05556122387255754
Paper;0.07599206748646431;0.07866093557269678
Auto_indus;0.06905775534898623;0.08090673641171978
OthEquip;0.03041109506137458;0.03261142092353749
Electronics;0.19016148740616198;0.2039201908623417
Food_industry;0.048366866679655326;0.050841861721309334
OthManuf;0.043713955683889354;0.046883461921469784
LandTransp;0.15663611685538054;0.2274592768844247
NavalTransp;0.11337912446667586;0.11561196212905424
AirTransp;0.13373114614842221;0.13716438820377883
AgriForest_Fish;0.16708456125124693;0.15874560364671647
Construction;0.037204930094618824;0.04258757260878758
Property_business;0.25093000145632743;0.259759218841106
Compo;0.11247302314169685;0.11483639957985106
