Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;56.71775758;0;20462.2204;0;1005.12479;0;0;0;0;2.750369247;0;0;60.52828995;0;0;0;0;0;0;0;0;0;855.9331975;22443.2748;21452.89008;990.3847198
Gas;0;10756.83588;0;0;9642.293054;0;0;0;1269.716706;2456.990052;2242.26663;2823.876605;186.1913744;889.8398776;758.9378012;0;976.8440809;28.47262244;167.7797062;9126.857924;0;0;888.2425715;42215.14489;42178.48221;36.66267352
Fossil_fuels;0;0;1231.070308;0;332.6334389;0;1416.764911;417.0648585;0;0;18.8864132;0;141.7076872;2472.887029;389.8715377;532.2388738;150.5286089;69.54647622;80.37168095;5634.401054;0;0;6595.792638;19483.76551;19052.52399;431.2415287
Biofuels;0;0;0;0;0;0;690.7955893;148.4880889;0;0;0;0;0;789.7039418;130.7837236;0;7.83448703;0;0;680.0195747;0;0;1499.363137;3946.988542;3945.869373;1.119168601
Elec;0;0;0;0;533.3992996;0;86.34944866;0;182.6410529;715.4103499;891.2456782;793.2148585;2066.075304;32.89785251;181.5133941;0;2436.664194;627.9797134;320.0743655;3628.816375;0;0;9.97E-12;12496.28189;11610.28189;886
Renew;0;0;0;10711.76763;1167.228422;458.746605;39.47403367;8.485033649;0;0;455.0960028;505.2867208;0;0;0;0;159.3934419;0;0;513.9506913;0;0;0;14019.42858;13971.46951;47.95906732
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296628.1649;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109212.3301;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15082.01514;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66804.40212;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217847.1308;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;394472.4755;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159423.3569;0;0;0;0;324911.3392;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183479.0166;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134706.9608;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138739.241;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400160.5539;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259638.5258;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1867458.226;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
