Sector;2030;2040;2050
Crude_oil;0.00013717247002432715;0.00012591015264360616;0.00010996297156277349
Liquid_fuels;0.0001528263875984274;0.00014027883136518812;0.0001225117817776913
Gas_fuels;0.012610022170005926;0.01121702687358613;0.009385612641621185
Solid_fuels;9.73378979828244e-06;8.989074838303592e-06;7.808250774309144e-06
Elec_heating;0.002298773993641897;0.0022130799360770862;0.0019584370754926264
Steel_Iron;0.0019142115583901454;0.0018113929662948501;0.0016170220071350457
NonFerrousMetals;0.0014147005186174817;0.0013405510329678409;0.0012020632776605315
Cement;0.0009252593644026644;0.0008872395545002931;0.0008219008860181664
OthMin;0.003660461814994914;0.003437817823690241;0.003040404171047623
ChemicalPharma;0.0015394650555270472;0.0014318143087037308;0.0012495312421996372
Paper;0.002661781015978589;0.002492015450121512;0.0021956190634151275
Auto_indus;0.001189065956909472;0.0011521910298366769;0.0010582703408263307
OthEquip;0.0033838018933024213;0.003164781936743641;0.002785350279257362
Electronics;0.002946813952288889;0.002756078476581938;0.0024256470454648393
Food_industry;0.003881259983211654;0.0036086740729721167;0.0031446108501510307
OthManuf;0.004484815207103825;0.004197443753518426;0.0036973372240982215
LandTransp;0.007880539883497278;0.0075182489471705026;0.006724388936068456
NavalTransp;0.0004363875439524418;0.0004135092300331586;0.0003770586811873787
AirTransp;0.0022827760114556904;0.002094494331472433;0.0017801748200397195
AgriForest_Fish;0.009120585476516662;0.008483599439215294;0.007424661563448374
Construction;0.005115222472474137;0.0049387993387485455;0.004647965249143508
Property_business;0.001021137047784138;0.0009543966051878648;0.0008384718365712448
Compo;0.0076752552983116425;0.007175305607003818;0.00629645699572259
