;Oil;Natural_gas;Coal_lignite;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;ManufacturedGoods;Compo;C;G;I;X;Tot_uses;Y;M
Oil;26044.35590145729;1100.6320069108272;91.96726375242294;0.0;738.0826809253664;820.7927650522901;144.54767171381383;216.3620133795193;1281.6143948779777;23.93510610152698;175.51186765727775;7299.114798990657;4472.413825067362;11359.122175117522;2221.990366555862;209.79536756939171;600.139395795312;610.638939510049;1994.7133111084324;4908.231689785007;0.0;0.0;20251.2;0;31375.303815626095;40244.50221437086
Natural_gas;835.7648001116792;0.0;0.0;4559.23221689079;186.76024658070682;330.2217372044739;1345.2308833561628;669.8173387901065;2386.2082135998567;1077.2303566793244;796.7980726699449;1205.8503242873612;24.10950103767762;16.807227785713213;154.53210967436516;3771.5541998572853;465.18431940295056;1227.3906077536885;6575.1061330070615;5880.879956554838;0.0;0.0;5319.5;0;643.8930143210939;36037.1
Coal_lignite;13.174561831134483;0.0;2019.2516573263788;0.0;1568.5498725986017;0.0;64.10096647847077;137.24351958957783;98.67288384482666;5.73027745860775;28.675833152483904;0.0;0.0;0.0;2.364545785174022;311.28585999851276;132.98031457374108;9.251480428540882;261.0112401686497;10.839167441167682;0.0;0.0;33.2;0;1643.7971340322142;8160.9
Elec_heating;209.20978015108597;745.621622577742;2.3017972725292917;959.759228448047;118.7336351611449;664.9840341485253;394.61957942689986;160.27391052717996;1942.4496403871265;441.9088816750852;728.0790093641302;1197.1002961087515;0.0;0.0;788.9646123132632;1455.874580194629;873.2858195394658;1463.0032488953352;17970.55480744517;20169.360531397335;0.0;0.0;2576.445282724804;0;57937.49724887418;1526.9990355620182
Steel_Iron;65.19958565895607;3.1021488445229584;8.003976879476927;14.804042375783723;817.6767215758229;971.5815206280954;20.81177166044255;222.81464312677886;213.9711169526477;14.376896001995021;2211.2161221365454;9.89574683433664;7.275926167139842;0.0;16.384525350994807;10.091014489027469;5620.5442357617285;8004.884969167033;14504.876579253303;137.1;0.0;66.7;12314.454389195307;0;15025.817061049973;18754.742667545554
NonFerrousMetals;99.08775351979239;2.079489130348409;12.189062829530421;30.90992789953212;5059.991902536279;1370.3575099601874;13.834624296620913;357.089113638036;276.6683798533495;12.853227779350755;7514.676976877098;14.0308306703121;10.392554597800371;0.0;19.74395730627108;14.918540210877353;1609.3811981391177;8645.98171048476;26489.685126879387;172.46910292216444;0.0;114.5;17474.383357557737;0;33858.19095784105;21722.74760105504
Cement;3.2014167812550705;1.7467708694926742;0.0;18.89692467809577;26.58375241214967;10.391003303288832;1112.533289262066;502.72498912888904;70.5667442887675;16.385691960998162;196.78747805527317;15.543705788855469;1.8965812182116928;0.0;38.791348872305505;33.4047123639764;2519.480238019488;328.5614138993406;1641.5942912613789;765.1740537732486;0.0;0.0;1.9451848729498415;0;6091.074683014661;751.0798043307602
OthMin;15.719005103243605;12.06103695602098;0.0;177.34421953168052;183.93542397911523;71.59610081470069;461.8055981489681;2428.215889181773;452.36908508942076;58.62773132855272;1245.7192272654056;111.49702571875584;13.428097715919131;3.1694833129703293;273.9202628483074;194.92162730134447;17750.308688275512;2048.4523101694963;11550.092020339338;5088.0260167819915;0.0;0.0;1198.9509986093603;0;22988.590064509015;10247.6
ChemicalPharma;682.99494111627;383.20662193839445;3.138814462539958;1872.4501124706208;83.70334160561511;670.939691875433;47.60866933017336;367.30961543995807;17154.275982705356;452.6638021925219;2286.0172998893763;47.09126951754487;76.36900373179584;27.085238467744972;5726.766149240645;1190.4600372297289;2996.1093879761065;10417.181404224339;34300.01517854391;15746.651509387184;19544.9;0.0;76087.45627031193;0;83161.7000511576;95631.6
Paper;30.842917768910578;4.0145455642910335;0.0;19.2452550836618;2.7044736664998386;9.876462333941713;11.588418753745675;90.64440267593807;843.7824084956299;1416.8937482765455;115.48946211408229;21.642538956151945;23.31372074742495;1.0081388389076094;63.88826656041863;1137.69224172141;224.23472354497287;2117.395919259848;9391.22230166046;1030.462341571867;0.0;0.0;16752.453189189444;0;19523.82477070974;7977.160579545041
Auto_transport;22.878417485343295;3.1021488439763343;0.0;15.326537989311174;5.176832159611009;44.351656030582674;5.02200674193534;39.41989554045718;43.02149553391028;25.3732158915948;60385.406431847856;347.7000433331166;1155.6501556610099;1324.2485507681347;190.24104202154425;65.45430996250457;182.85679199104496;1410.3861450704608;26157.350098056544;132702.09874923664;186.74566307382634;48675.348163711074;177384.41991070053;0;242451.35144801796;226382.1514421552
LandTransp;135.44077984989875;9.670438559215995;0.0;47.20216744562296;6.055140390306859;52.739710388620374;12.264752024537453;96.41610967194829;255.63327935254983;62.47338720731245;146.38866307540766;20906.253515034266;100.64524331408809;119.61426932658227;125.42788139430589;271.23657914410376;455.0270108141667;383.0858632242025;61243.95297419955;32240.298376172203;5233.7;0.0;3161.3244745111288;0;111477.46802987244;4305.984095056302
NavalTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0182940026814133;3606.6652838614154;0.0;0.0;0.0;0.0;0.0;376.0101533536038;1036.3870591899197;0.0;0.0;38196.25613045799;0;36082.573929061735;0.0
AirTransp;32.71808973670848;2.73718840769223;0.0;13.6717926086215;2.5645461213979255;22.241603715830173;3.555719010251942;28.033894140353198;82.84951631413696;16.09404084922296;94.49777799913063;44.980065302535806;65.62171015483344;2605.453533914464;6.904401976636991;65.4173783711874;113.6571971135201;131.97635690479055;6323.215643620461;14649.665048820205;5.6;0.0;22996.442118782772;0;34066.12530448784;11791.53096157755
AgriForest_Fish;0.0;0.0;0.0;10.101581854177825;0.0;0.0;0.0;0.0;53.034087472451894;77.38658819357288;0.0;0.0;0.0;0.0;14724.070828979606;33592.6869217996;711.5808905659087;3226.012892340798;7009.719999633814;25696.563787253406;0.0;2159.3853621132007;27478.795761313184;0;93148.79843421467;16501.59328649931
Food_industry;84.8586889302574;5.7518560049395475;0.0;24.818541630543105;11.34285022348327;92.83326554867408;6.137064362242725;48.65010278263248;1869.1152972895422;150.27912698680723;204.84796143336888;23.162521052925285;110.93896296387221;253.0283147519065;6654.37471550232;24433.786935453427;505.71665560968813;2692.65982626599;47768.90686749341;110408.12842505141;160.7;0.0;140.41452426922535;0;147472.60849629244;54496.27212717513
Construction;413.45126473169825;322.4410005590239;1.8309751031481991;879.882612691158;98.0328455850468;38.30659808677399;17.645212396235944;105.14139413449051;210.81659927617136;40.01675836369286;1406.0274653415815;110.68625880811035;166.6462696955438;125.61694379069081;349.6267190017355;223.2631569721272;52864.678559669344;2183.718701301763;36216.82227873917;8987.184041966295;0.0;380983.68122673314;0.0;0;394462.92736854014;0.0
ManufacturedGoods;975.8855347799382;807.2886169717004;35.67785772420509;1187.110033121242;1135.1799693486057;2225.198312632046;216.04719638770024;1253.0163093913643;4112.103740680593;2014.9213400026597;55845.832049832985;1184.7578979515772;327.0087445449206;1640.5271983337018;3189.433150626737;4121.595533006499;39120.53699512774;65743.97977159191;183506.28760810936;77870.42134603734;3345.8345761356954;72319.88955678443;70309.82163324764;0;285701.79223357356;204945.41696259924
Compo;8242.711210291594;1597.7891340314882;334.90302058077907;8539.929550428791;2825.82587170582;24166.40251895382;1278.9454737789217;10060.952120765163;29162.56333295298;12108.375918031841;122759.24505324027;28289.413189099392;16884.12463902648;8909.579387437972;13404.479026831397;35142.7746538324;136096.99222284468;142716.61603476005;1726514.7818558959;1437473.5863852215;907762.799434596;207976.8;336645.04629902774;0;4514861.420989759;338830.0596649003
