;2030;2035;2040;2050
Crude_oil;0.0704442;0.0704442;0.0704442;0.0704442
Liquid_fuels;0.0108238;0.0108238;0.0108238;0.0108238
Gas_fuels;0.006198288;0.006198288;0.006198288;0.006198288
Solid_fuels;0.0045661;0.0045661;0.0045661;0.0045661
Elec_heating;0.1022858;0.1022858;0.1022858;0.1022858
Steel_Iron;0.052567;0.052567;0.052567;0.052567
NonFerrousMetals;0.0445561;0.0445561;0.0445561;0.0445561
Cement;0.0806921;0.0806921;0.0806921;0.0806921
OthMin;0.0431429;0.0431429;0.0431429;0.0431429
ChemicalPharma;0.0518909;0.0518909;0.0518909;0.0518909
Paper;0.0711208;0.0711208;0.0711208;0.0711208
Auto_indus;0.0622061;0.0622061;0.0622061;0.0622061
OthEquip;0.0275007;0.0275007;0.0275007;0.0275007
Electronics;0.1719627;0.1719627;0.1719627;0.1719627
Food_industry;0.0420333;0.0420333;0.0420333;0.0420333
OthManuf;0.0394464;0.0394464;0.0394464;0.0394464
LandTransp;0.1094604;0.1094604;0.1094604;0.1094604
NavalTransp;0.0959142;0.0959142;0.0959142;0.0959142
AirTransp;0.1121218;0.1121218;0.1121218;0.1121218
AgriForest_Fish;0.1772697;0.1772697;0.1772697;0.1772697
Construction;0.0351033;0.0351033;0.0351033;0.0351033
Property_business;0.2237052;0.2237052;0.2237052;0.2237052
Compo;0.1034568;0.1034568;0.1034568;0.1034568
