type;Variables;unit;Agents/Sectors;2010;2016;2018;REF;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3
-;Y;volume;2.  Natural_gas;636.22083;34.591574;35.134712;35.134712;33.36966;32.946024;33.466695;33.35583;33.214939;33.214939;33.278871;33.195324;33.131217;32.712912;33.58875;33.181223;32.973798;32.973798;33.400264;33.018532
-;Y;volume;3.  Coal;3389.3079;3268.1342;3339.7095;3339.7095;3022.5783;2961.1002;3060.7988;3022.0605;3005.543;3005.543;3038.7462;3004.1795;2984.7835;2924.317;3075.5643;2993.4643;2967.3748;2967.3748;3053.4315;2975.2858
-;Y;volume;4.  AllFuels;58184.754;39587.305;39946.78;39946.78;38402.709;38153.977;38439.092;38390.051;38281.42;38281.42;38296.797;38265.353;38268.698;38022.013;38539.288;38294.09;38145.538;38145.538;38396.45;38167.822
-;Y;volume;5.  Electricity;40430.451;44416.142;45122.21;45122.21;43112.336;42582.196;43177.375;43090.817;42901.838;42901.838;42925.259;42873.084;42818.733;42294.585;43341.32;42877.417;42604.777;42604.777;43088.316;42656.863
-;Y;volume;6.  HeatGeoSol_Th;2414.6505;3404.6831;3467.4335;3467.4335;3297.9505;3247.3984;3310.3091;3296.3187;3278.7439;3278.7439;3287.2546;3276.426;3269.3068;3219.401;3323.4787;3275.2414;3249.8006;3249.8006;3300.353;3255.1087
-;Y;volume;7.  Heavy_Industry;165125.45;175205.83;179826.95;179826.95;176362.92;171449.49;180801.6;176405.31;175221.66;175221.66;179253.66;175196.27;173092.87;168276.79;181667;173865.01;171924.6;171924.6;180114.38;172634.97
-;Y;volume;8.  Buildings_constr;40507.976;50037.274;51565.9;51565.9;54615.985;54412.255;54604.702;54595.387;51583.659;51583.659;51568.735;51560.899;54566.852;54361.088;54600.96;54585.881;51537.038;51537.038;51565.22;51552.062
-;Y;volume;9.  Work_constr;179188.25;215273.72;221919.1;221919.1;232811.45;232228.41;232385.55;232774.89;222093.63;222093.63;221590.8;222045.03;232236.57;231646.66;232845.46;232314.88;221523.19;221523.19;222048.9;221592.86
-;Y;volume;10. Automobile;2793.1859;2951.912;3048.9839;3048.9839;3101.6292;3027.6094;3068.8373;3096.9099;3078.4605;3078.4605;3037.7028;3072.7027;3046.9103;2975.1549;3096.0208;3053.4132;3022.7878;3022.7878;3064.7379;3028.417
-;Y;volume;11. Load_PipeTransp;348778.79;360432.82;368871.39;368871.39;370576.36;364428.98;371206.38;370167.39;367399.22;367399.22;367501.45;366906.08;367077.87;360971.93;373683.23;367619.27;363854.48;363854.48;369964.9;364318.6
-;Y;volume;12. PassTransp;183466;184205.07;188554.69;188554.69;185386.63;182624.11;188322.37;185326.7;184653.27;184653.27;187214.54;184558.35;184877.12;182097.55;191604.84;185196.02;184100.73;184100.73;190478.91;184388.71
-;Y;volume;13. Agri_Food_industry;191441.85;200065.06;206562.09;206562.09;205986.72;201183.63;206837.23;205848.62;205061.97;205061.97;205510.13;204857.67;203995.74;199229.81;209327.2;204586.52;203026.75;203026.75;207986.4;203558.19
-;Y;volume;14. Property_business;3686657.6;3881783;4022150.5;4022150.5;4063247.6;3683063.4;4033005.7;4041213.5;4035448.6;4035448.6;3998854.4;4009851.5;4048490.8;3668896.1;4087903.8;4066066.3;4019925.8;4019925.8;4053450.7;4034137.9
-;Y;volume;15. OthSectors;2436549.6;2619057.4;2697577.9;2697577.9;2741156.1;2688224.8;2720000.7;2737296.2;2713998.6;2713998.6;2688744.9;2709399.2;2710669.8;2658170.5;2737035;2715182.1;2683165.4;2683165.4;2705687.3;2686999.8
-;M;ratio;1.  Crude_oil;64614.266;44652.019;45057.235;45057.235;41158.507;40892.103;41197.475;41144.95;41028.601;41028.601;41045.071;41011.393;41014.975;40750.764;41304.79;41042.171;40883.065;40883.065;41151.803;40906.933
-;M;ratio;2.  Natural_gas;41888.44;37811.819;38405.52;38405.52;36476.153;36013.08;36582.222;36461.036;36307.029;36307.029;36376.912;36285.587;36215.513;35758.267;36715.639;36270.174;36043.44;36043.44;36509.606;36092.338
-;M;ratio;3.  Coal;12089.868;7890.7522;8063.5672;8063.5672;7297.8692;7149.4334;7390.1509;7296.619;7256.7383;7256.7383;7336.906;7253.4463;7206.6155;7060.6221;7425.8014;7227.5751;7164.5832;7164.5832;7372.3629;7183.6838
-;M;ratio;4.  AllFuels;37150.27;35435.7;35757.476;35757.476;34375.335;34152.687;34407.902;34364.004;34266.765;34266.765;34280.53;34252.384;34255.377;34034.563;34497.591;34278.107;34145.134;34145.134;34369.732;34165.081
-;M;ratio;5.  Electricity;1567.5016;1659.8686;1686.2549;1686.2549;1611.1443;1591.3325;1613.5748;1610.3401;1603.2778;1603.2778;1604.1531;1602.2032;1600.1721;1580.5842;1619.7016;1602.3651;1592.1763;1592.1763;1610.2466;1594.1229
-;M;ratio;6.  HeatGeoSol_Th;2.220e-16;0;2.261e-16;2.261e-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;M;ratio;7.  Heavy_Industry;103919.47;121365.27;126473.56;126473.56;128533.53;128840.13;127159.04;128467.55;127409.58;127409.58;126070.36;127347.43;129298.2;129593.38;127767.68;129195.98;128163.15;128163.15;126675.71;128066.25
-;M;ratio;8.  Buildings_constr;2.220e-16;3.019e-16;3.162e-16;3.162e-16;3.349e-16;3.336e-16;3.348e-16;3.348e-16;3.163e-16;3.163e-16;3.162e-16;3.162e-16;3.346e-16;3.333e-16;3.348e-16;3.347e-16;3.160e-16;3.160e-16;3.162e-16;3.161e-16
-;M;ratio;9.  Work_constr;2.220e-16;2.936e-16;3.077e-16;3.077e-16;3.228e-16;3.220e-16;3.222e-16;3.228e-16;3.080e-16;3.080e-16;3.073e-16;3.079e-16;3.220e-16;3.212e-16;3.229e-16;3.221e-16;3.072e-16;3.072e-16;3.079e-16;3.073e-16
-;M;ratio;10. Automobile;2074.673;2413.3272;2527.7659;2527.7659;2540.9808;2538.8062;2544.2254;2541.2654;2515.7179;2515.7179;2518.4133;2515.9208;2561.507;2559.7284;2566.762;2562.0904;2535.5609;2535.5609;2540.8268;2536.1589
-;M;ratio;11. Load_PipeTransp;9070.673;10317.554;11004.523;11004.523;11055.387;10871.992;11074.182;11043.186;10960.604;10960.604;10963.653;10945.892;10951.016;10768.858;11148.074;10967.168;10854.853;10854.853;11037.145;10868.699
-;M;ratio;12. PassTransp;4771.3914;5272.9544;5552.8397;5552.8397;5459.5421;5378.1873;5545.9979;5457.7772;5437.945;5437.945;5513.3731;5435.1496;5444.5373;5362.6802;5642.6653;5453.9287;5421.673;5421.673;5609.5069;5430.1539
-;M;ratio;13. Agri_Food_industry;36287.319;41739.981;43809.298;43809.298;43965.459;44357.382;43867.651;43978.277;43649.695;43649.695;43586.189;43667.436;44891.771;45280.512;44395.744;44846.007;44571.355;44571.355;44111.376;44530.808
-;M;ratio;14. Property_business;2.220e-16;2.573e-16;2.709e-16;2.709e-16;2.736e-16;2.480e-16;2.716e-16;2.722e-16;2.718e-16;2.718e-16;2.693e-16;2.700e-16;2.726e-16;2.471e-16;2.753e-16;2.738e-16;2.707e-16;2.707e-16;2.730e-16;2.717e-16
-;M;ratio;15. OthSectors;272446.27;322339.57;337747.35;337747.35;336720.82;341812.38;340554.78;337230.56;332430.79;332430.79;336641.43;333005.24;343972.7;349133.32;342687.54;343631.36;339615.58;339615.58;338762.69;339349.14
-;M/Y;volume;1.  Crude_oil;26.852248;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736;47.552736
-;M/Y;volume;2.  Natural_gas;65.839466;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933;1093.0933
-;M/Y;volume;3.  Coal;3.567061;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517;2.4144517
-;M/Y;volume;4.  AllFuels;0.6384880;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279;0.8951279
-;M/Y;volume;5.  Electricity;0.0387703;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708;0.0373708
-;M/Y;volume;6.  HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;M/Y;volume;7.  Heavy_Industry;0.6293365;0.6927011;0.7033070;0.7033070;0.7288013;0.7514757;0.7033070;0.7282522;0.7271337;0.7271337;0.7033070;0.7268844;0.7469874;0.7701204;0.7033070;0.7430821;0.7454614;0.7454614;0.7033070;0.7418326
-;M/Y;volume;8.  Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;M/Y;volume;9.  Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;M/Y;volume;10. Automobile;0.7427622;0.8175471;0.8290519;0.8290519;0.8192407;0.8385514;0.8290519;0.8205810;0.8172000;0.8172000;0.8290519;0.8187974;0.8406900;0.8603681;0.8290519;0.8390906;0.8388154;0.8388154;0.8290519;0.8374537
-;M/Y;volume;11. Load_PipeTransp;0.0260070;0.0286255;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330;0.0298330
-;M/Y;volume;12. PassTransp;0.0260070;0.0286255;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495;0.0294495
-;M/Y;volume;13. Agri_Food_industry;0.1895475;0.2086320;0.2120878;0.2120878;0.2134383;0.2204821;0.2120878;0.2136438;0.212861;0.212861;0.2120878;0.2131599;0.2200623;0.2272778;0.2120878;0.2192031;0.2195344;0.2195344;0.2120878;0.2187621
-;M/Y;volume;14. Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;M/Y;volume;15. OthSectors;0.1118164;0.1230746;0.1252039;0.1252039;0.1228390;0.1271517;0.1252039;0.1231984;0.1224875;0.1224875;0.1252039;0.1229074;0.1268958;0.1313435;0.1252039;0.1265592;0.1265727;0.1265727;0.1252039;0.1262930
-;X;volume;1.  Crude_oil;52.798;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
-;X;volume;2.  Natural_gas;2556.5014;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683;3336.2683
-;X;volume;3.  Coal;178.0838;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648;103.5648
-;X;volume;4.  AllFuels;25861.707;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932;16932
-;X;volume;5.  Electricity;4316.1937;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936;5279.7936
-;X;volume;6.  HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;X;volume;7.  Heavy_Industry;82830.536;92149.586;95226.837;95226.837;93567.491;92190.919;95226.837;93601.946;93672.296;93672.296;95226.837;93688.014;92456.422;91122.884;95226.837;92690.189;92547.464;92547.464;95226.837;92765.531
-;X;volume;8.  Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;X;volume;9.  Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;X;volume;10. Automobile;1517.2102;1687.9076;1746.5156;1746.5156;1769.7164;1724.76;1746.5156;1766.5019;1774.6386;1774.6386;1746.5156;1770.7828;1719.9553;1677.2737;1746.5156;1723.5454;1724.1652;1724.1652;1746.5156;1727.2395
-;X;volume;11. Load_PipeTransp;7299.4709;8120.7155;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979;8041.4979
-;X;volume;12. PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;X;volume;13. Agri_Food_industry;27838.943;30971.031;31857.621;31857.621;31756.22;31245.266;31857.621;31740.893;31799.427;31799.427;31857.621;31777.033;31274.901;30779.073;31857.621;31335.872;31312.314;31312.314;31857.621;31367.339
-;X;volume;14. Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;X;volume;15. OthSectors;279122.74;310526.12;318898.99;318898.99;323266.37;315213.84;318737.74;322573.64;324059.17;324059.17;318847.35;323245.66;315716.71;307906.57;318802.41;316329.25;316413.96;316413.96;318911.75;316925.52
-;Jobs;thousands;1.  Crude_oil;0.2616341;0.0972016;0.0957445;0.0957445;0.0874599;0.0868938;0.0875427;0.0874311;0.0871838;0.0871838;0.0872188;0.0871473;0.0871549;0.0865934;0.0877707;0.0872127;0.0868746;0.0868746;0.0874456;0.0869253
-;Jobs;thousands;2.  Natural_gas;23.172984;3.8739575;3.8409433;3.8409433;3.647987;3.6016749;3.6585949;3.6464751;3.6310728;3.6310728;3.6380619;3.6289284;3.6219203;3.576191;3.671938;3.627387;3.6047112;3.6047112;3.6513326;3.6096015
-;Jobs;thousands;3.  Coal;0.4615761;0.4237340;0.4226871;0.4226871;0.3825497;0.3747688;0.3873871;0.3824842;0.3803937;0.3803937;0.3845960;0.3802211;0.3777663;0.3701134;0.3892559;0.3788650;0.3755630;0.3755630;0.3864546;0.3765642
-;Jobs;thousands;4.  AllFuels;4.213878;2.729542;2.6886395;2.6886395;2.584715;2.5679739;2.5871638;2.583863;2.5765515;2.5765515;2.5775865;2.5754702;2.5756953;2.559092;2.5939075;2.5774043;2.567406;2.567406;2.5842937;2.5689058
-;Jobs;thousands;5.  Electricity;81.119845;84.843864;84.136982;84.136982;80.389278;79.400755;80.510552;80.349154;79.996773;79.996773;80.040446;79.943157;79.841812;78.864461;80.816253;79.951237;79.442859;79.442859;80.344489;79.539982
-;Jobs;thousands;6.  HeatGeoSol_Th;1.7201026;2.309074;2.2955473;2.2955473;2.1833444;2.1498774;2.1915262;2.1822641;2.170629;2.170629;2.1762634;2.1690945;2.1643814;2.1313422;2.2002449;2.1683103;2.1514677;2.1514677;2.1849349;2.1549818
-;Jobs;thousands;7.  Heavy_Industry;352.55333;355.69276;356.36762;356.36762;349.50286;339.7658;358.29909;349.58685;347.24119;347.24119;355.23151;347.19089;343.02251;333.47836;360.01408;344.55268;340.70733;340.70733;356.93722;342.11507
-;Jobs;thousands;8.  Buildings_constr;154.14857;181.17594;182.25793;182.25793;193.03836;192.31828;192.99848;192.96555;182.3207;182.3207;182.26795;182.24026;192.8647;192.13743;192.98525;192.93195;182.15592;182.15592;182.25553;182.20902
-;Jobs;thousands;9.  Work_constr;2461.1172;2813.4892;2831.1696;2831.1696;2970.1304;2962.6922;2964.697;2969.6641;2833.3961;2833.3961;2826.9812;2832.7761;2962.7963;2955.2705;2970.5644;2963.7954;2826.1187;2826.1187;2832.8255;2827.0074
-;Jobs;thousands;10. Automobile;77.713335;78.121858;78.766445;78.766445;80.126467;78.214264;79.279331;80.00455;79.527935;79.527935;78.475013;79.379189;78.712877;76.859171;79.981583;78.880871;78.089705;78.089705;79.173429;78.235127
-;Jobs;thousands;11. Load_PipeTransp;87.618447;86.25819;86.172351;86.172351;86.57065;85.134556;86.71783;86.475111;85.828437;85.828437;85.852319;85.713234;85.753365;84.326951;87.29645;85.879842;85.000346;85.000346;86.427806;85.108769
-;Jobs;thousands;12. PassTransp;100.88507;96.494685;96.417555;96.417555;94.797567;93.38495;96.298756;94.766921;94.422563;94.422563;95.732269;94.374024;94.537029;93.115692;97.977253;94.700099;94.140022;94.140022;97.401504;94.28728
-;Jobs;thousands;13. Agri_Food_industry;808.04591;800.76861;807.05543;807.05543;804.80742;786.04133;808.13042;804.26784;801.19433;801.19433;802.94532;800.39613;797.02847;778.40761;817.85896;799.33672;793.24256;793.24256;812.62033;795.31895
-;Jobs;thousands;14. Property_business;496.62296;497.31404;503.00783;503.00783;508.1474;460.60179;504.36537;505.39183;504.67088;504.67088;500.09443;501.46973;506.30193;458.83004;511.2309;508.49992;502.72961;502.72961;506.92222;504.50696
-;Jobs;thousands;15. OthSectors;20572.225;21047.043;21161.04;21161.04;21502.888;21087.671;21336.936;21472.609;21289.852;21289.852;21091.75;21253.772;21263.739;20851.911;21470.56;21299.136;21047.982;21047.982;21224.655;21078.061
-;pM/pY;ratio;1.  Crude_oil;2.4717667;1.1756966;1.4486799;1.4486799;1.458301;1.4040473;1.4486799;1.4571704;1.4606963;1.4606963;1.4486799;1.4587985;1.433631;1.3804002;1.4486799;1.4405622;1.4357416;1.4357416;1.4486799;1.4420127
-;pM/pY;ratio;2.  Natural_gas;0.0188574;0.0009894;0.0011066;0.0011066;0.0011144;0.0010741;0.0011066;0.0011117;0.0011161;0.0011161;0.0011066;0.0011129;0.0010964;0.0010569;0.0011066;0.0010995;0.0010979;0.0010979;0.0011066;0.0011006
-;pM/pY;ratio;3.  Coal;0.5436563;0.5012454;0.4953991;0.4953991;0.1765619;0.1760151;0.4953991;0.1778873;0.1765945;0.1765945;0.4953991;0.1779148;0.1762189;0.1756699;0.4953991;0.177601;0.1762484;0.1762484;0.4953991;0.1776259
-;pM/pY;ratio;4.  AllFuels;0.7056188;0.5835308;0.6252143;0.6252143;0.6143315;0.608072;0.6252143;0.6143535;0.6147625;0.6147625;0.6252143;0.6147047;0.6100167;0.6037779;0.6252143;0.610911;0.6104047;0.6104047;0.6252143;0.6112286
-;pM/pY;ratio;5.  Electricity;0.8744597;0.8634193;0.9451273;0.9451273;0.8901681;0.8643021;0.9451273;0.8971877;0.8914329;0.8914329;0.9451273;0.8981173;0.8764900;0.8510481;0.9451273;0.8871218;0.8776031;0.8776031;0.9451273;0.8879459
-;pM/pY;ratio;6.  HeatGeoSol_Th;1;1.2265446;1.320891;1.320891;1.114688;1.0911387;1.320891;1.1274278;1.1157961;1.1157961;1.320891;1.1282583;1.102577;1.0792213;1.320891;1.1183286;1.1035609;1.1035609;1.320891;1.1190691
-;pM/pY;ratio;7.  Heavy_Industry;1;0.9770997;0.9623650;0.9623650;0.9428717;0.9264156;0.9623650;0.9432802;0.9441138;0.9441138;0.9623650;0.9442999;0.9296105;0.9134588;0.9623650;0.9324150;0.9307036;0.9307036;0.9623650;0.9333173
-;pM/pY;ratio;8.  Buildings_constr;1;0.9502461;0.9350040;0.9350040;0.9446037;0.9233935;0.9350040;0.9427924;0.9461224;0.9461224;0.9350040;0.9439941;0.9275822;0.9067940;0.9350040;0.9292500;0.9289088;0.9289088;0.9350040;0.9303056
-;pM/pY;ratio;9.  Work_constr;1;0.9501044;0.9345210;0.9345210;0.9445745;0.9306589;0.9345210;0.9433794;0.9460848;0.9460848;0.9345210;0.9446712;0.9271779;0.9135434;0.9345210;0.9284090;0.9284934;0.9284934;0.9345210;0.9295376
-;pM/pY;ratio;10. Automobile;1;0.9598850;0.9465646;0.9465646;0.9533636;0.9401033;0.9465646;0.9524271;0.9547941;0.9547941;0.9465646;0.9536738;0.9386649;0.9256984;0.9465646;0.9397401;0.9399254;0.9399254;0.9465646;0.9408440
-;pM/pY;ratio;11. Load_PipeTransp;1;0.8276171;0.7941191;0.7941191;0.7608792;0.7523748;0.7941191;0.7604198;0.7620467;0.7620467;0.7941191;0.761482;0.7487807;0.7403864;0.7941191;0.7494671;0.7498166;0.7498166;0.7941191;0.7504110
-;pM/pY;ratio;12. PassTransp;1;0.9175274;0.8918538;0.8918538;0.8805179;0.8690136;0.8918538;0.8800578;0.8820743;0.8820743;0.8918538;0.8814710;0.8643910;0.8530888;0.8918538;0.8654824;0.8657650;0.8657650;0.8918538;0.8667324
-;pM/pY;ratio;13. Agri_Food_industry;1;0.9448656;0.92947;0.92947;0.9265101;0.9115167;0.92947;0.9260623;0.9277719;0.9277719;0.92947;0.9271180;0.9123900;0.8977181;0.92947;0.9141852;0.9134918;0.9134918;0.92947;0.9151109
-;pM/pY;ratio;14. Property_business;1;0.9437886;0.9289810;0.9289810;0.9391372;0.8315649;0.9289810;0.9326612;0.9407423;0.9407423;0.9289810;0.9332283;0.9221995;0.8166327;0.9289810;0.9266524;0.9236086;0.9236086;0.9289810;0.9271615
-;pM/pY;ratio;15. OthSectors;1;0.9478410;0.9317215;0.9317215;0.9422597;0.9232771;0.9317215;0.9406374;0.9438537;0.9438537;0.9317215;0.9419503;0.9243746;0.9057829;0.9317215;0.9258238;0.9257656;0.9257656;0.9317215;0.9269746
nominal;Profit_margins;G€;1.  Crude_oil;68590.396;35529.888;36450.875;36450.875;33077.164;36565.659;35434.027;33285.873;32918.694;32918.694;35346.344;33177.827;33529.024;37063.498;35273.743;33202.726;33372.059;33372.059;35184.155;33093.319
nominal;Profit_margins;G€;2.  Natural_gas;1236509.7;1234955.4;1272703;1272703;1200267.4;1317089.5;1218411.9;1208265.7;1192838.3;1192838.3;1212930.2;1202451.6;1211241.5;1329113.2;1215569.7;1201940.8;1203802.4;1203802.4;1210038.2;1196047.5
nominal;Profit_margins;G€;3.  Coal;8665.813;8575.7007;8712.8256;8712.8256;22125.142;23292.098;-1215052.7;7884.1246;21996.384;21996.384;-1206226.3;7837.4758;21891.017;23047.959;-1221483.9;7809.5215;21759.697;21759.697;-1212626.6;7762.0962
nominal;Profit_margins;G€;4.  AllFuels;608019.89;437463.04;500612.77;500612.77;489787.93;526664.05;-15908.689;481103.85;487898.76;487898.76;-13239.66;479541.14;491531.1;528575.15;-21529.599;479901.26;489637.74;489637.74;-18899.994;478318.88
nominal;Profit_margins;G€;5.  Electricity;4328552.4;6757172.4;6988132.5;6988132.5;7089091.9;7725443.7;4526017.2;6673528.3;7044469.8;7044469.8;4516059;6639807.6;7150689.9;7792764.7;4374918.6;6640478.7;7105934.5;7105934.5;4364378.2;6606321.3
nominal;Profit_margins;G€;6.  HeatGeoSol_Th;91784.62;148040.65;156006.95;156006.95;175830.25;189477.77;-216833.6;148308.15;174632.66;174632.66;-214918.46;147413.14;176217.71;189918.48;-222303.23;147359.84;175010.15;175010.15;-220391.35;146454.03
nominal;Profit_margins;G€;7.  Heavy_Industry;6628732.5;7298821.2;7606030;7606030;7613734.5;8069995;5153055.8;7461306.7;7554513.5;7554513.5;5171492.7;7410169.1;7579162.8;8033006.8;4556119.6;7353861.3;7519165.9;7519165.9;4574369.8;7301835
nominal;Profit_margins;G€;8.  Buildings_constr;3258577.5;4295083.8;4498453.2;4498453.2;4716113.3;5149011.2;4966739.2;4762736.5;4447120.3;4447120.3;4711597;4498017;4798335;5238336.7;4718020.8;4761907.3;4525436.6;4525436.6;4474573.5;4497246.1
nominal;Profit_margins;G€;9.  Work_constr;9785311.4;12546176;13149139;13149139;13647711;14801862;15527149;13792365;12998634;12998634;14972818;13156600;13869450;15041404;13436495;13765109;13210890;13210890;12962457;13129808
nominal;Profit_margins;G€;10. Automobile;-592852.6;-661847.1;-693231.55;-693231.55;-700172.07;-742501.88;-575779.13;-704128.24;-693900.68;-693900.68;-546582.12;-698624.37;-698590.31;-740991.69;-764794.31;-694238.62;-692130.05;-692130.05;-735215.97;-688555.37
nominal;Profit_margins;G€;11. Load_PipeTransp;137249.18;173772.55;185342.75;185342.75;194333.76;207045;-2718461;185993.94;192372.47;192372.47;-2630508.7;184355.26;195609.45;208401.64;-3363782.4;184713.61;193623.9;193623.9;-3274781.4;183055.16
nominal;Profit_margins;G€;12. PassTransp;35808.891;39732.36;41841.33;41841.33;41667.944;44554.67;-19738.46;41125.022;41429.88;41429.88;-4254.8732;40954.521;42328.683;45255.518;-179586.82;41096.024;42084.029;42084.029;-164351.15;40916.877
nominal;Profit_margins;G€;13. Agri_Food_industry;6328832.1;7097648.1;7449523.7;7449523.7;7452505.9;7925763.3;6803275.3;7423792.8;7408958.3;7408958.3;6841011.1;7388055;7494692.8;7969433.6;5930713.9;7378276.2;7450096.2;7450096.2;5966486.2;7341190.1
nominal;Profit_margins;G€;14. Property_business;1.443e+08;1.632e+08;1.718e+08;1.718e+08;1.717e+08;1.883e+08;1.726e+08;1.727e+08;1.703e+08;1.703e+08;1.712e+08;1.713e+08;1.742e+08;1.910e+08;1.746e+08;1.737e+08;1.727e+08;1.727e+08;1.731e+08;1.724e+08
nominal;Profit_margins;G€;15. OthSectors;1.725e+08;1.984e+08;2.079e+08;2.079e+08;2.089e+08;2.240e+08;2.301e+08;2.109e+08;2.065e+08;2.065e+08;2.295e+08;2.088e+08;2.106e+08;2.257e+08;2.072e+08;2.092e+08;2.081e+08;2.081e+08;2.067e+08;2.071e+08
-;C;volume;1.  Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-;C;volume;2.  Natural_gas;14396.399;12130.426;12130.426;12130.426;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391;11524.391
