type;Variables;unit;Agents/Sectors;2010;2016;2018;REF;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LabTax/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest30_MarginAdapt3;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt0;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt1;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt2;LumpSumHH/Ctax100_sigW0_CoefW0_SigTrade1_sobriety1_OverInvest0_MarginAdapt3
nominal;GDP;G€;-;1937.2;2220.6;2328.6;2328.6;2357.8;2371.2;2365.3;2358.9;2326.1;2326.1;2334.2;2327.4;2384.8;2398.3;2381.9;2383.9;2352.7;2352.7;2350.7;2352
nominal;Consumption;G€;-;1091.3;1201.3;1268;1268;1274.9;1274.6;1275.6;1274.9;1268;1268;1268.7;1268;1295.2;1294.7;1296.3;1295.3;1288.1;1288.1;1289.2;1288.2
nominal;G_Conso;G€;-;521.6;576.4;604.4;604.4;599.4;611.9;604.6;600.4;598.4;598.4;604.5;599.5;609.5;622.1;604.5;608.6;608.5;608.5;604.4;607.8
nominal;Investment;G€;-;376.7;488;510.6;510.6;535.4;545.6;540.7;536.2;504.8;504.8;510.7;505.7;544.7;555;540.7;543.9;513.7;513.7;510.6;513.1
nominal;X;G€;-;463.7;530.3;553.9;553.9;555.2;551.6;553.8;554.9;555.5;555.5;553.9;555.2;551.7;548.2;553.9;552;552;552;553.9;552.3
nominal;M;G€;-;516.2;575.4;608.2;608.2;607;612.4;609.6;607.5;600.6;600.6;603.5;601.1;616.2;621.6;613.4;615.8;609.7;609.7;607.4;609.3
nominal;Trade_Balance;G€;-;-52.5;-45.1;-54.4;-54.4;-51.9;-60.8;-55.7;-52.6;-45.1;-45.1;-49.7;-45.9;-64.5;-73.4;-59.6;-63.8;-57.7;-57.7;-53.5;-57
nominal;Net-of-tax wages;G€;-;0.029358;0.032575;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013
nominal;Net-of-tax effective wages;G€;-;0.029358;0.031013;0.033202;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013;0.034013
real;GDP;G€;-;1937.2;2080.5;2289.1;2328.6;2361.2;2299.5;2350.9;2357.5;2333.8;2333.8;2320.3;2329.5;2342;2281;2367.7;2346.5;2314.3;2314.3;2337;2318.1
