;Coal;CrudeOil;NaturalGaz;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
PlantedForest;187.8656871;187.8656871;187.8656871;187.8656871;0.70474649;62.66132163;187.8656871;62.66132163;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;31.86111463;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;187.8656871;62.66132163;187.8656871;187.8656871;62.38060085;62.38060085;62.38060085
SugarCane;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;59.14084423;58.08476164;59.14084423;59.14084423;63.46
Soy;977.0331297;977.0331297;977.0331297;977.0331297;977.0331297;1011.906768;977.0331297;1011.906768;1011.906768;1011.906768;977.0331297;977.0331297;977.0331297;977.0331297;977.0331297;977.0331297;977.0331297;1011.906768;977.0331297;977.0331297;977.0331297;977.0331297;977.0331297;977.0331297;977.0331297;1011.906768;977.0331297;977.0331297;977.0331297;977.0331297;1011.906768;977.0331297;1011.906768;1011.906768;1011.906768;1011.906768;1011.906768;1011.906768;1011.906768;977.0331297;977.0331297;1011.906768;1011.906768;977.0331297;977.0331297;976.4142069;1139
RestAgri;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1323.215666;1295.491502;1316.444222;1000;1000
Cattle;7267.090187;7267.090187;7263.066741;7267.090187;7263.066741;7267.090187;7263.066741;7267.090187;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7267.090187;7263.066741;7267.090187;7263.066741;7263.066741;7263.066741;7263.066741;7267.090187;7267.090187;7263.066741;7263.066741;7267.090187;7267.090187;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7263.066741;7260.791729;8969.355668
RestLivestoock;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1218.251439;1175.346357;1217.507786;1000;1000
Cement;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.7871903;291.6907585;291.7871903;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.6907585;291.7871903;291.7871903;291.7871903;291.6907585;291.6907585;292.6592395;250.3228983
IronSteel;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;2033.9484;1993.085357;2033.9484;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;1993.085357;2033.9484;1993.085357;1993.085357;1993.085357;2031.8679;1685.926524
MiningPellet;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1246.482051;1188.374451;1214.724088;1000;1000
NonFerrousMetals;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3712.406401;3624.352966;3712.406401;3624.352966;3624.352966;3624.352966;3712.406401;3712.406401;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3624.352966;3712.406401;3712.406401;3624.352966;3624.352966;3691.061485;3326.035682
