;Coal;CrudeOil;NaturalGaz;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite
Labour;14.4643332;77.24376626;14.91369637;50.13963191;327.4570384;8.410143602;21.72104035;7.061000232;225.3031554;198.4289982;338.1006843;1029.364518;2232.497825;4212.617286;3241.451791;3609.271795;135.2729266;156.1046106;218.7612091;117.4177781;336.355;549.3122468;1816.475753;823.1060602;255.8544118;433.9323427;8482.186787;6178.987705;2503.337777;65.82940452;14.60307993;104.1498986;1653.015011;51.19115624;53.06469993;4.459204346;734.2734845;6655.198;4811.755;50181.98575
ThousandFTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
