;Coal;CrudeOil;NaturalGaz;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
BovineMeat;0.000304353;0.000482526;0.001448844;0.01066248;0.065914061;0;53.69615765;0;0;0.02373489;0.363892405;0.219105989;1.95306379;4.741332882;41.95491035;44.09968464;0.000781227;0.056911031;0.227798647;0.017280665;97.48280467;104.5199128;147.556457;0.595452432;1.309996385;0.004159291;0.532468403;178.2371093;0;0;0.000123328;0.003018596;0.204222967;0.006405488;0.000448128;0.000163219;0.184796704;61.65567953;51.33376102;824.5634254;5854.500318;7.14744297;0;1200.968959;8678.240591;8471.168;207.0725909
RestFoodBeve;1.240255771;9.083998143;0.803769124;6.386782881;59.25997758;0;667.6069104;0;1497.403736;1.340863966;327.1571388;263.5099928;808.7256656;1688.923171;6727.681589;7495.789535;1.551287719;0.822880944;70.85006588;6.095921493;2420.640748;25339.81203;94488.02132;58.75602692;739.2328239;2.808680273;88.67038745;1306.742635;33.3430554;0.89294051;12.29237414;1.794002166;17.43220225;0.54676397;44.66604613;0.032465665;10.43978901;3446.069397;4091.963226;78922.42125;521189.838;248.094835;0;125851.244;877949.9885;848653.8538;29296.13471
Textiles;7.290755012;79.96448642;7.225148599;0.247235291;0.207179975;0;3.499713175;0;38.45592529;14.32329201;1.143780517;84.78025235;184.0814322;316.1751299;12.16988043;13.08358624;3.330554409;5.173666768;160.7232504;1.813510281;162.9765612;18.62694964;331.4664038;9864.234163;114.6728021;21.80177161;531.9226123;22545.8489;20.9864204;0.562024827;7.70E-05;12.57172667;13.30182093;0.417213862;0.000279797;0.639145587;8.578538304;43.40570155;31.53385883;1715.241158;23443.4529;0;0;1910.102309;61726.03212;51164.37363;10561.65849
PaperPulp;0.35192984;21.3017936;2.790524038;4.880589207;0.477537611;8.467218779;4.351162293;16.82008354;46.22729945;18.38607823;2.636346569;30.85178279;68.03909279;121.9089183;35.70427899;39.18433089;148.4846703;24.98423876;53.8170347;14.41960399;848.0033052;716.3501617;3609.668127;301.119607;5241.278778;471.1195304;137.373077;5737.977751;52.88982404;1.41641088;2.008934591;25.2666146;27.2659216;0.85520024;7.299742433;1.263820021;25.80666823;534.7893732;415.3343994;6816.557828;6535.150339;0;0;9742.850933;41915.73086;39299.26099;2616.469875
Ceramics;6.456637122;41.63765144;21.75546739;3.402250266;14.63514851;0;16.62192257;0;182.6468;310.2623293;80.79640775;1609.566463;3588.594589;6255.764906;2887.166409;3099.832149;1977.134697;1059.947302;312.7982835;36.5392182;3232.203273;46.10830976;11888.45946;131.8528814;664.639162;6242.718564;70689.20032;17535.20121;0.128010261;0.003428167;0.001646868;0.044891477;2.727110713;0.085536288;0.005984123;0.002179556;228.1616764;426.8441347;688.0440975;28904.09612;10054.58395;0;0;19170.56863;191411.2392;181882.646;9528.593198
Construction;0.091214482;1196.804574;95.67436368;1.8150203;0.152762299;0;1.599864001;0;17.57979795;4.648527729;0.843356323;2.876388023;6.827494428;25.35298291;17.42506916;18.83232815;0.638097923;87.64226402;1246.027054;45.89132746;81.81476731;5.093873192;210.3595525;1.276754229;9.672779783;2.286712219;29579.36747;778.7449175;136.6483427;3.659497888;0.431226088;21.08941012;125.5737472;3.938641807;1.566919794;0.875833562;4187.608345;1306.341197;1632.816461;26279.15333;0;0;436934.317;235.8826674;504309.2419;503752.8652;556.3766661
OthIndustry;51.86828845;7710.333203;1076.050813;63.88467895;17.02523652;125.4587234;92.43814299;249.223064;992.2595932;7765.682597;93.99139005;326.8980448;793.4277946;1497.005791;2429.438378;2647.535845;911.6843556;10618.15705;9056.08631;2351.527268;8610.940006;3403.780367;31610.51841;902.2526403;4129.209072;3026.855067;71676.60054;302212.1996;12431.67413;332.9252615;412.7412637;2104.284458;7970.437702;249.9941258;1499.75262;89.71844216;3022.993491;5349.825643;38687.62575;132196.5655;552045.4719;8408.784168;281887.8321;136778.162;1657911.121;1315408.4;342502.7211
FreightRoad;72.22410273;8505.349705;1243.127384;308.1509628;90.56431247;1033.30188;314.0806272;2052.648503;3257.835702;9510.906965;499.979287;2866.998954;4228.399178;10490.26284;1764.075856;2464.383411;813.3047308;18296.40727;6658.915479;2364.307964;33780.87088;21098.40721;150634.4139;4260.04117;11362.55032;5912.511611;7844.947889;126034.7287;82204.88029;2201.479944;71.57745113;4629.067727;52532.31229;1647.684854;260.086595;91.18500773;1207.353088;473.6679833;1565.841845;146596.974;7764.280777;0;0;5825.633891;744835.7225;744711.6512;124.0712815
FreightRail;1235.006401;5314.911785;525.1390075;192.5605931;16.26229131;645.7004746;196.2659837;1282.680442;2035.79041;1707.837618;89.77939095;514.8161666;33028.57819;12425.63943;316.7684342;442.5200152;15564.43219;3285.416704;127433.4632;424.5498455;6321.540403;3788.561243;27048.85239;764.9594926;2040.330217;1061.687364;1408.687643;22631.5799;14761.21967;395.3114332;12.85289238;831.2241967;9433.028777;295.868542;46.7027669;16.37374721;216.7998309;85.05476958;281.1723022;31210.91169;1394.202555;0;0;1046.08706;331771.1274;331721;50.12743434
FreightAir;0.008769524;36.42371872;3.366230156;0.157263444;0.004160275;0.133042025;0.044338458;0.264287251;0.462306267;7.78949711;0.022967672;0.003439171;0.007559482;0.152899967;0.051934222;0.041091758;0.5455735;1.987105147;1.103286755;0.416553006;12.62321958;4.006251053;38.61789253;0.869417289;2.41178039;1.750469518;29.8913787;51.98700705;3.002676285;0.080412885;0.057587426;2.269863788;1.805438887;0.056627896;0.209251898;0.116921996;1.160777624;58.3473307;11.21254701;479.621276;0;0;0;1074.622225;1827.706377;1496.396903;331.309474
FreightWater;14.08850114;36918.38497;2942.790528;347.2783245;0.07258985;1049.351817;329.820776;2084.531614;3427.78961;0;0.400747497;0;0;10.79102128;5.426763146;0.42632547;205.5856121;2312.277906;617.060094;110.5638857;5971.008595;4758.29325;11263.31952;107.1101437;8967.124415;469.2451741;1960.029265;10094.38537;2808.320612;75.20796189;0;7692.765581;1785.49466;56.00234182;0;410.5201197;0;0;0;19539.93801;0;0;0;31224.206;157559.6121;130573.9868;26985.6253
PassRoad;8.438424117;3279.213965;261.982345;6.188085164;9.544602793;0;47.45591939;0;521.4602452;9.994310755;52.69298214;7.66282243;17.33839768;72.80460088;16.97144017;100.580874;538.6372781;840.2923894;4647.147412;185.5373757;3602.476283;399.2678396;2389.64962;80.57944539;28.36640116;1719.950599;880.3815641;24552.0969;869.7225094;23.29152058;0.051930947;48.26339234;645.3846932;20.24259999;0.188698296;0.926240922;152.4308476;32628.93013;9585.458668;72331.82241;960776.825;0;0;6128.823308;1127489.074;1094621.628;32867.4465
PassRail;0.28893937;112.2832892;8.970515414;0.211885703;0.32681594;0;1.62493414;0;17.85527635;0.342214353;1.804255964;0.262382058;0.593682615;2.492896208;0.581117654;3.443981237;18.44343368;28.77238094;159.1225832;6.352969658;123.352087;13.67129647;81.82379142;2.759114004;0.971291553;58.89268362;30.145071;840.6862824;29.78009521;0.797522995;0.001778163;1.652582753;22.09856293;0.693125162;0.006461202;0.031715337;5.219371815;1117.244449;328.2148831;2476.70784;32897.87836;0;0;209.8565228;38606.25844;37602.6;1003.658442
PassAir;1.304092289;5416.473369;500.5830441;23.38622437;0.618663358;19.78432212;6.593453022;39.30144709;68.74832318;1158.355191;3.41546086;0.511429822;1.124150283;22.73734334;7.722998654;6.110644894;81.13076966;295.4970687;164.0668097;61.94447851;1877.165075;595.7588324;5742.763063;129.2887096;358.6493832;260.3076199;4445.066632;7730.84817;446.5199245;11.95798418;8.563671423;337.5453466;268.4819672;8.420982281;31.11728772;17.38715597;172.6161224;8676.674816;1667.387747;71323.19158;43781.39844;0;0;0;155770.5198;127533;28237.5198
PassWater;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1524.513349;0;0;0;1524.513349;1278.738191;245.7751572
WaterSewage;1.548623361;37.85820935;5.585391471;14.23435681;0.042801414;50.5080237;6.551307847;100.3339113;62.53538441;43.21083053;0.236294186;0.387483284;0.85527146;16.59579584;2.859178104;0.996466757;117.0387016;4191.061695;308.6890687;1787.670109;1117.431649;95.40263506;2083.87967;67.15220636;308.3398589;371.3805303;201.6591291;3081.505;143.6459517;3.846896688;1.195360023;25.11732365;116.4909951;3.65375975;4.343506416;1.080082653;895.5771049;1377.324176;3276.998431;20806.46528;23629.22441;0;0;3.821892663;64364.33475;64364.33475;0
Education;0.071459437;32.57756983;6.798446342;1.135567476;0.014595833;1.032084705;0.301082325;2.050230592;3.115234144;70.70856137;0.080579358;0.421599224;0.929575333;2.882113525;0.973225758;0.526155826;0.005711351;183.7332262;137.3434042;56.75534501;41.81719566;8.055891606;289.372672;1.833470817;38.76703931;0.210233166;3.667959578;358.1182534;508.2818103;13.61199247;3.195611423;94.96747174;327.3179502;10.26638283;11.61169727;4.151173644;2.612540406;510.7553132;584.3279238;8867.389138;103406.5019;287162.4353;0;78.01561852;402828.7403;401896.7419;931.9984023
Health;0;0;0.001537486;0;0;0;0;0;0;0.025873891;0;0;0;0.067850335;0.001064562;0.000188251;0;0;0.000705421;0;0.055463687;0;0;0;0;0;0;0.074302322;0;0;0.000134442;0.003290634;0.222627656;0.006982754;0.000488514;0.000177928;0.201450687;4.872477098;21175.50965;122.8426543;163476.7057;215917.8913;0;226.9973079;400925.4812;400263.3615;662.1196581
Composite;112.7225868;31260.87863;3397.399428;608.1454242;54.25814054;1699.075964;609.4929767;3375.205059;6379.320182;15239.61113;-24.38337735;2460.877721;5241.449966;7933.603047;3821.913331;6583.315793;1106.922373;17853.19852;20987.74381;4905.286815;46241.37999;17248.87324;167769.7734;4443.341099;12671.03172;9346.79478;60982.4392;208145.2561;9492.566305;342.7678944;4998.63857;8159.198219;4746.927933;1167.922315;15369.57483;680.7614206;11909.17283;53794.91966;53364.93396;1273276.823;1553182.192;764714.4631;232747.4741;109694.8431;4758098.107;4577869.329;180228.7792
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
