reference_year;2018
current_year;2030
GDP;0.015991327
GDP_world;0.020620692
Population;0.002696707
Labour_force;0.001889509
Retired;0.023438673
pM_Crude_oil;-0.028176169
pM_Natural_gas;-0.001198963
pM_Coal;0.012097096
pM_AllFuels;-0.01697069
pM_Electricity;0.013257418
pM_HeatGeoSol_Th;0.013257418
pM_Heavy_Industry;0.0015
pM_Buildings_constr;0.0015
pM_Work_constr;0.0015
pM_Automobile;0.0015
pM_Load_PipeTransp;0.0015
pM_PassTransp;0.0015
pM_AgriFood_Indus;0.0015
pM_PropertyBus;0.0015
pM_Comp;0.0015
units;mean_yearly_growth_rate
